 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,Slice
1,49850,150.124,14.918,114,182,376,304.500,379.271,299.557,794.205,0
2,49850,150.124,14.918,114,182,376,304.500,379.271,299.557,794.205,1
3,49850,148.489,14.988,113,180,376,304.500,379.293,299.477,794.205,2
4,49850,141.524,14.600,107,171,376,304.500,379.349,299.363,794.205,3
5,49850,136.729,15.229,101,169,376,304.500,379.835,299.054,794.205,4
6,49850,135.184,15.610,90,171,376,304.500,379.801,298.940,794.205,5
7,49850,145.803,16.155,97,192,376,304.500,379.829,299.289,794.205,6
8,49850,125.574,16.256,73,165,376,304.500,380.495,298.442,794.205,7
9,49850,77.810,12.892,27,121,376,304.500,381.372,297.088,794.205,8
10,49850,34.128,6.797,7,62,376,304.500,380.498,297.189,794.205,9
11,49850,10.815,2.928,0,34,376,304.500,376.897,302.373,794.205,10
12,49850,23.393,5.144,1,48,376,304.500,381.571,300.478,794.205,11
13,49850,65.840,10.508,25,99,376,304.500,381.808,298.266,794.205,12
14,49850,112.794,14.858,64,149,376,304.500,381.289,298.928,794.205,13
15,49850,152.928,16.175,103,196,376,304.500,380.089,299.753,794.205,14
16,49850,179.009,16.271,130,217,376,304.500,379.514,300.400,794.205,15
17,49850,144.289,14.772,103,184,376,304.500,379.136,299.442,794.205,16
18,49850,143.239,14.388,107,173,376,304.500,378.981,299.335,794.205,17
19,49850,146.129,15.809,107,179,376,304.500,380.042,299.344,794.205,18
20,49850,149.011,15.899,109,182,376,304.500,379.957,299.393,794.205,19
21,49850,147.289,15.944,110,181,376,304.500,380.037,299.338,794.205,20
22,49850,135.001,13.867,102,165,376,304.500,379.075,299.234,794.205,21
23,49850,137.929,15.355,102,172,376,304.500,379.966,299.103,794.205,22
24,49850,135.033,15.741,89,172,376,304.500,380.214,299.097,794.205,23
25,49850,144.351,15.382,97,188,376,304.500,379.410,299.342,794.205,24
26,49850,121.330,16.138,71,162,376,304.500,380.801,298.415,794.205,25
27,49850,74.061,12.595,35,111,376,304.500,381.903,297.142,794.205,26
28,49850,33.193,6.824,6,61,376,304.500,381.336,297.248,794.205,27
29,49850,10.424,2.927,0,39,376,304.500,377.871,302.972,794.205,28
30,49850,22.989,5.316,0,45,376,304.500,381.891,300.049,794.205,29
31,49850,63.050,10.183,29,99,376,304.500,382.026,298.372,794.205,30
32,49850,112.084,14.727,65,152,376,304.500,381.127,298.818,794.205,31
33,49850,147.429,15.624,99,186,376,304.500,380.030,299.746,794.205,32
34,49850,161.748,16.060,117,203,376,304.500,379.744,299.975,794.205,33
35,49850,149.745,15.981,103,191,376,304.500,379.848,299.522,794.205,34
36,49850,149.802,15.484,107,190,376,304.500,379.525,299.560,794.205,35
37,49850,154.321,15.527,116,185,376,304.500,379.466,299.584,794.205,36
38,49850,156.679,15.678,120,188,376,304.500,379.537,299.657,794.205,37
