 ,Mean,StdDev,Min,Max,Slice
1,199.690,25.782,131,244,1
2,197.906,25.876,132,242,2
3,191.366,26.412,124,237,3
4,185.873,27.315,113,232,4
5,185.305,27.386,109,238,5
6,187.100,27.719,109,243,6
7,160.499,28.155,83,217,7
8,106.733,24.598,44,166,8
9,46.096,13.685,5,87,9
10,7.474,2.582,0,31,10
11,31.879,7.712,7,61,11
12,90.358,19.670,40,138,12
13,145.192,25.453,70,195,13
14,187.648,26.189,115,237,14
15,213.458,25.137,131,255,15
16,194.896,24.482,129,242,16
17,193.009,24.524,129,234,17
18,195.533,26.492,126,239,18
19,198.247,26.627,129,242,19
20,196.367,26.709,127,242,20
21,184.556,25.639,117,227,21
22,187.444,27.260,117,235,22
23,184.528,27.727,110,239,23
24,183.821,26.601,112,238,24
25,155.668,28.345,76,211,25
26,101.671,24.587,39,160,26
27,44.832,13.686,7,91,27
28,7.688,2.666,0,59,28
29,30.671,7.564,3,60,29
30,84.984,19.087,35,137,30
31,142.489,25.832,72,196,31
32,180.273,26.230,104,235,32
33,200.017,26.158,121,248,33
34,195.287,26.429,121,244,34
35,196.024,25.977,124,246,35
36,199.696,26.284,130,242,36
37,202.235,26.294,134,246,37
