 ,Mean,StdDev,Min,Max,Slice
1,178.424,24.648,116,219,1
2,176.546,24.757,113,219,2
3,169.362,24.838,108,212,3
4,164.000,25.415,100,208,4
5,162.201,25.520,94,213,5
6,166.776,26.076,93,222,6
7,142.006,25.915,73,194,7
8,90.273,20.954,37,142,8
9,36.209,10.013,6,68,9
10,7.011,2.314,0,30,10
11,25.223,5.955,4,51,11
12,76.323,16.340,30,119,12
13,127.717,23.053,64,174,13
14,170.080,24.830,100,218,14
15,196.789,24.500,120,241,15
16,173.123,23.299,110,220,16
17,172.282,23.599,112,212,17
18,174.328,25.162,112,215,18
19,177.187,25.249,114,218,19
20,175.178,25.477,111,217,20
21,163.173,24.024,102,203,21
22,165.793,25.395,101,209,22
23,162.119,25.785,94,214,23
24,164.863,24.945,96,221,24
25,137.534,25.903,66,191,25
26,86.020,20.699,29,133,26
27,36.053,10.083,6,73,27
28,7.046,2.361,0,59,28
29,24.759,5.906,3,51,29
30,71.451,15.719,27,115,30
31,126.068,23.208,56,175,31
32,163.493,24.558,90,218,32
33,181.685,24.856,100,229,33
34,174.764,24.958,105,222,34
35,175.494,24.699,108,223,35
36,180.045,25.084,117,223,36
37,182.476,25.068,120,224,37
