 ,Mean,StdDev,Min,Max,Slice
1,145.187,23.219,88,186,1
2,143.360,23.172,87,186,2
3,136.670,22.734,82,180,3
4,132.058,23.024,73,175,4
5,130.524,23.445,64,182,5
6,140.906,24.401,67,197,6
7,121.123,23.987,54,172,7
8,75.006,18.072,19,124,8
9,33.004,8.566,3,63,9
10,10.753,2.981,0,38,10
11,22.926,5.616,0,48,11
12,63.654,13.815,19,105,12
13,108.788,21.005,45,162,13
14,148.113,23.716,79,197,14
15,173.781,24.360,96,220,15
16,139.524,22.232,77,188,16
17,138.405,22.167,82,179,17
18,141.334,23.616,83,181,18
19,144.105,23.802,86,185,19
20,142.234,23.926,82,183,20
21,130.260,21.637,75,168,21
22,133.321,23.134,76,175,22
23,130.389,23.415,58,183,23
24,139.476,23.525,74,195,24
25,116.987,23.811,47,166,25
26,71.498,17.560,22,118,26
27,32.426,8.621,4,69,27
28,10.454,2.974,0,65,28
29,22.618,5.684,0,54,29
30,61.024,13.435,18,104,30
31,108.229,21.163,43,156,31
32,142.842,23.330,74,192,32
33,156.909,23.960,81,205,33
34,144.841,23.817,74,192,34
35,145.013,23.503,77,197,35
36,149.366,24.003,90,192,36
37,151.540,24.105,93,193,37
