 ,Mean,StdDev,Min,Max,Slice
1,208,0,208,208,1
2,208,0,208,208,2
3,202,0,202,202,3
4,196,0,196,196,4
5,200,0,200,200,5
6,200,0,200,200,6
7,174,0,174,174,7
8,115,0,115,115,8
9,57,0,57,57,9
10,8,0,8,8,10
11,32,0,32,32,11
12,98,0,98,98,12
13,155,0,155,155,13
14,196,0,196,196,14
15,225,0,225,225,15
16,205,0,205,205,16
17,204,0,204,204,17
18,207,0,207,207,18
19,213,0,213,213,19
20,208,0,208,208,20
21,191,0,191,191,21
22,201,0,201,201,22
23,195,0,195,195,23
24,192,0,192,192,24
25,171,0,171,171,25
26,110,0,110,110,26
27,51,0,51,51,27
28,10,0,10,10,28
29,30,0,30,30,29
30,92,0,92,92,30
31,151,0,151,151,31
32,184,0,184,184,32
33,200,0,200,200,33
34,206,0,206,206,34
35,211,0,211,211,35
36,210,0,210,210,36
37,213,0,213,213,37
