 ,Mean,StdDev,Min,Max,Slice
1,184,0,184,184,1
2,178,0,178,178,2
3,174,0,174,174,3
4,168,0,168,168,4
5,168,0,168,168,5
6,173,0,173,173,6
7,149,0,149,149,7
8,97,0,97,97,8
9,42,0,42,42,9
10,10,0,10,10,10
11,26,0,26,26,11
12,80,0,80,80,12
13,138,0,138,138,13
14,175,0,175,175,14
15,211,0,211,211,15
16,177,0,177,177,16
17,175,0,175,175,17
18,178,0,178,178,18
19,184,0,184,184,19
20,183,0,183,183,20
21,168,0,168,168,21
22,172,0,172,172,22
23,171,0,171,171,23
24,168,0,168,168,24
25,144,0,144,144,25
26,86,0,86,86,26
27,37,0,37,37,27
28,9,0,9,9,28
29,27,0,27,27,29
30,79,0,79,79,30
31,128,0,128,128,31
32,168,0,168,168,32
33,195,0,195,195,33
34,182,0,182,182,34
35,179,0,179,179,35
36,185,0,185,185,36
37,190,0,190,190,37
