 ,Mean,StdDev,Min,Max,Slice
1,151,0,151,151,1
2,147,0,147,147,2
3,142,0,142,142,3
4,139,0,139,139,4
5,141,0,141,141,5
6,144,0,144,144,6
7,124,0,124,124,7
8,72,0,72,72,8
9,37,0,37,37,9
10,12,0,12,12,10
11,27,0,27,27,11
12,69,0,69,69,12
13,109,0,109,109,13
14,155,0,155,155,14
15,190,0,190,190,15
16,147,0,147,147,16
17,141,0,141,141,17
18,149,0,149,149,18
19,150,0,150,150,19
20,148,0,148,148,20
21,136,0,136,136,21
22,140,0,140,140,22
23,134,0,134,134,23
24,149,0,149,149,24
25,125,0,125,125,25
26,82,0,82,82,26
27,33,0,33,33,27
28,11,0,11,11,28
29,27,0,27,27,29
30,70,0,70,70,30
31,112,0,112,112,31
32,157,0,157,157,32
33,161,0,161,161,33
34,150,0,150,150,34
35,149,0,149,149,35
36,158,0,158,158,36
37,155,0,155,155,37
