"Time (s)","Illuminance (lx)"
0.000000000E0,2.396750000E3
7.239197000E-3,2.396750000E3
9.894197000E-3,2.396750000E3
1.251819700E-2,2.396750000E3
1.514319700E-2,2.396750000E3
1.776719700E-2,2.396750000E3
2.039219700E-2,2.396750000E3
2.301619700E-2,2.396750000E3
2.564119700E-2,2.396750000E3
2.826519700E-2,2.396750000E3
3.089019700E-2,2.396750000E3
3.351419700E-2,2.396750000E3
3.613919700E-2,2.396750000E3
3.876319700E-2,2.396750000E3
4.138819700E-2,2.396750000E3
4.401319700E-2,2.396750000E3
4.663719700E-2,2.396750000E3
4.926219700E-2,2.396750000E3
5.188619700E-2,2.396750000E3
5.451119700E-2,2.396750000E3
5.713519700E-2,2.396750000E3
5.976019700E-2,2.396750000E3
6.238419700E-2,2.396750000E3
6.500919700E-2,2.396750000E3
6.763319700E-2,2.396750000E3
7.025819700E-2,2.396750000E3
7.288219700E-2,2.396750000E3
7.550719700E-2,2.396750000E3
7.813119700E-2,2.396750000E3
8.075619700E-2,2.396750000E3
8.338019700E-2,2.396750000E3
8.600519700E-2,2.396750000E3
8.862919700E-2,2.396750000E3
9.125419700E-2,2.396750000E3
9.387819700E-2,2.396750000E3
9.650319700E-2,2.396750000E3
9.912719700E-2,2.396750000E3
1.017521970E-1,2.396750000E3
1.043761970E-1,2.396750000E3
1.070011970E-1,2.396750000E3
1.096251970E-1,2.396750000E3
1.122501970E-1,2.396750000E3
1.148741970E-1,2.396750000E3
1.174991970E-1,2.396750000E3
1.201231970E-1,2.396750000E3
1.227481970E-1,2.396750000E3
1.253721970E-1,2.396750000E3
1.279971970E-1,2.396750000E3
1.306211970E-1,2.396750000E3
1.332461970E-1,2.396750000E3
1.358701970E-1,2.396750000E3
1.384951970E-1,2.396750000E3
1.411191970E-1,2.396750000E3
1.437441970E-1,2.396750000E3
1.463681970E-1,2.396750000E3
1.489931970E-1,2.396750000E3
1.516171970E-1,2.396750000E3
1.542421970E-1,2.396750000E3
1.568671970E-1,2.396750000E3
1.594911970E-1,2.396750000E3
1.621161970E-1,2.396750000E3
1.647401970E-1,2.396750000E3
1.673651970E-1,2.396750000E3
1.699891970E-1,2.396750000E3
1.726141970E-1,2.396750000E3
1.752381970E-1,2.396750000E3
1.778631970E-1,2.396750000E3
1.804871970E-1,2.396750000E3
1.831121970E-1,2.396750000E3
1.857361970E-1,2.396750000E3
1.883611970E-1,2.396750000E3
1.909851970E-1,2.396750000E3
1.936101970E-1,2.396750000E3
1.962341970E-1,2.396750000E3
1.988591970E-1,2.396750000E3
2.014831970E-1,2.396750000E3
2.041081970E-1,2.396750000E3
2.067321970E-1,2.396750000E3
2.093571970E-1,2.396750000E3
2.119811970E-1,2.396750000E3
2.146061970E-1,2.396750000E3
2.172301970E-1,2.396750000E3
2.198551970E-1,2.396750000E3
2.224791970E-1,2.396750000E3
2.251041970E-1,2.396750000E3
2.277281970E-1,2.396750000E3
2.303531970E-1,2.396750000E3
2.329771970E-1,2.396750000E3
2.356021970E-1,2.396750000E3
2.382261970E-1,2.396750000E3
2.408511970E-1,2.396750000E3
2.434751970E-1,2.396750000E3
2.461001970E-1,2.396750000E3
2.487241970E-1,2.396750000E3
2.513491970E-1,2.396750000E3
2.539731970E-1,2.396750000E3
2.565981970E-1,2.396750000E3
2.592221970E-1,2.396750000E3
2.618471970E-1,2.396750000E3
2.644711970E-1,2.396750000E3
2.670961970E-1,2.396750000E3
2.697211970E-1,2.396750000E3
2.723451970E-1,2.396750000E3
2.749701970E-1,2.396750000E3
2.775941970E-1,2.396750000E3
2.802191970E-1,2.396750000E3
2.828431970E-1,2.396750000E3
2.854681970E-1,2.396750000E3
2.880921970E-1,2.396750000E3
2.907171970E-1,2.396750000E3
2.933411970E-1,2.396750000E3
2.959661970E-1,2.396750000E3
2.985901970E-1,2.396750000E3
3.012151970E-1,2.396750000E3
3.038391970E-1,2.396750000E3
3.064641970E-1,2.396750000E3
3.090881970E-1,2.396750000E3
3.117131970E-1,2.396750000E3
3.143371970E-1,2.396750000E3
3.169621970E-1,2.396750000E3
3.195861970E-1,2.396750000E3
3.222111970E-1,2.396750000E3
3.248351970E-1,2.396750000E3
3.274601970E-1,2.396750000E3
3.300841970E-1,2.396750000E3
3.327091970E-1,2.396750000E3
3.353331970E-1,2.396750000E3
3.379581970E-1,2.396750000E3
3.405821970E-1,2.396750000E3
3.432071970E-1,2.396750000E3
3.458311970E-1,2.396750000E3
3.484561970E-1,2.396750000E3
3.510801970E-1,2.396750000E3
3.537051970E-1,2.396750000E3
3.563291970E-1,2.396750000E3
3.589541970E-1,2.396750000E3
3.615781970E-1,2.396750000E3
3.642031970E-1,2.396750000E3
3.668271970E-1,2.396750000E3
3.694521970E-1,2.396750000E3
3.720761970E-1,2.396750000E3
3.747011970E-1,2.396750000E3
3.773251970E-1,2.396750000E3
3.799501970E-1,2.396750000E3
3.825751970E-1,2.396750000E3
3.851991970E-1,2.396750000E3
3.878241970E-1,2.396750000E3
3.904481970E-1,2.396750000E3
3.930731970E-1,2.396750000E3
3.956971970E-1,2.396750000E3
3.983221970E-1,2.396750000E3
4.009461970E-1,2.396750000E3
4.035711970E-1,2.396750000E3
4.061951970E-1,2.396750000E3
4.088201970E-1,2.396750000E3
4.114441970E-1,2.396750000E3
4.140691970E-1,2.396750000E3
4.166931970E-1,2.396750000E3
4.193181970E-1,2.396750000E3
4.219421970E-1,2.396750000E3
4.245671970E-1,2.396750000E3
4.271911970E-1,2.396750000E3
4.298161970E-1,2.396750000E3
4.324401970E-1,2.396750000E3
4.350651970E-1,2.396750000E3
4.376891970E-1,2.396750000E3
4.403141970E-1,2.396750000E3
4.429381970E-1,2.396750000E3
4.455631970E-1,2.396750000E3
4.481871970E-1,2.396750000E3
4.508121970E-1,2.396750000E3
4.534361970E-1,2.396750000E3
4.560611970E-1,2.396750000E3
4.586851970E-1,2.396750000E3
4.613101970E-1,2.396750000E3
4.639341970E-1,2.396750000E3
4.665591970E-1,2.396750000E3
4.691831970E-1,2.396750000E3
4.718081970E-1,2.396750000E3
4.744321970E-1,2.396750000E3
4.770571970E-1,2.396750000E3
4.796811970E-1,2.396750000E3
4.823061970E-1,2.396750000E3
4.849301970E-1,2.396750000E3
4.875551970E-1,2.396750000E3
4.901791970E-1,2.396750000E3
4.928041970E-1,2.396750000E3
4.954291970E-1,2.396750000E3
4.980531970E-1,2.396750000E3
5.006781970E-1,2.396750000E3
5.033021970E-1,2.396750000E3
5.059271970E-1,2.396750000E3
5.085511970E-1,2.396750000E3
5.111761970E-1,2.396750000E3
5.138001970E-1,2.396750000E3
5.164251970E-1,2.396750000E3
5.190491970E-1,2.396750000E3
5.216741970E-1,2.396750000E3
5.242981970E-1,2.396750000E3
5.269231970E-1,2.396750000E3
5.295471970E-1,2.396750000E3
5.321721970E-1,2.396750000E3
5.347961970E-1,2.396750000E3
5.374211970E-1,2.396750000E3
5.400451970E-1,2.396750000E3
5.426701970E-1,2.396750000E3
5.452941970E-1,2.396750000E3
5.479191970E-1,2.396750000E3
5.505431970E-1,2.396750000E3
5.531681970E-1,2.396750000E3
5.557921970E-1,2.396750000E3
5.584171970E-1,2.396750000E3
5.610411970E-1,2.396750000E3
5.636661970E-1,2.396750000E3
5.662901970E-1,2.396750000E3
5.689151970E-1,2.396750000E3
5.715391970E-1,2.396750000E3
5.741641970E-1,2.396750000E3
5.767881970E-1,2.396750000E3
5.794131970E-1,2.396750000E3
5.820371970E-1,2.396750000E3
5.846621970E-1,2.396750000E3
5.872861970E-1,2.396750000E3
5.899111970E-1,2.396750000E3
5.925351970E-1,2.396750000E3
5.951601970E-1,2.396750000E3
5.977841970E-1,2.396750000E3
6.004091970E-1,2.396750000E3
6.030331970E-1,2.396750000E3
6.056581970E-1,2.396750000E3
6.082831970E-1,2.396750000E3
6.109071970E-1,2.396750000E3
6.135321970E-1,2.396750000E3
6.161561970E-1,2.396750000E3
6.187811970E-1,2.396750000E3
6.214051970E-1,2.396750000E3
6.240301970E-1,2.396750000E3
6.266541970E-1,2.396750000E3
6.292791970E-1,2.396750000E3
6.319031970E-1,2.396750000E3
6.345281970E-1,2.396750000E3
6.371521970E-1,2.396750000E3
6.397771970E-1,2.396750000E3
6.424011970E-1,2.396750000E3
6.450261970E-1,2.396750000E3
6.476501970E-1,2.396750000E3
6.502751970E-1,2.396750000E3
6.528991970E-1,2.396750000E3
6.555241970E-1,2.396750000E3
6.581481970E-1,2.396750000E3
6.607731970E-1,2.396750000E3
6.633971970E-1,2.396750000E3
6.660221970E-1,2.396750000E3
6.686461970E-1,2.396750000E3
6.712711970E-1,2.396750000E3
6.738951970E-1,2.396750000E3
6.765201970E-1,2.396750000E3
6.791441970E-1,2.396750000E3
6.817691970E-1,2.396750000E3
6.843931970E-1,2.396750000E3
6.870181970E-1,2.396750000E3
6.896421970E-1,2.396750000E3
6.922671970E-1,2.396750000E3
6.948911970E-1,2.396750000E3
6.975161970E-1,2.396750000E3
7.001401970E-1,2.396750000E3
7.027651970E-1,2.396750000E3
7.053891970E-1,2.396750000E3
7.080141970E-1,2.396750000E3
7.106381970E-1,2.396750000E3
7.132631970E-1,2.396750000E3
7.158881970E-1,2.396750000E3
7.185121970E-1,2.396750000E3
7.211371970E-1,2.396750000E3
7.237611970E-1,2.396750000E3
7.263861970E-1,2.396750000E3
7.290101970E-1,2.396750000E3
7.316351970E-1,2.396750000E3
7.342591970E-1,2.396750000E3
7.368841970E-1,2.396750000E3
7.395081970E-1,2.396750000E3
7.421331970E-1,2.396750000E3
7.447571970E-1,2.396750000E3
7.473821970E-1,2.396750000E3
7.500061970E-1,2.396750000E3
7.526311970E-1,2.396750000E3
7.552551970E-1,2.396750000E3
7.578801970E-1,2.396750000E3
7.605041970E-1,2.396750000E3
7.631291970E-1,2.396750000E3
7.657531970E-1,2.396750000E3
7.683781970E-1,2.396750000E3
7.710021970E-1,2.396750000E3
7.736271970E-1,2.396750000E3
7.762511970E-1,2.396750000E3
7.788761970E-1,2.396750000E3
7.815001970E-1,2.396750000E3
7.841251970E-1,2.390375000E3
7.867491970E-1,2.390375000E3
7.893741970E-1,2.390375000E3
7.919981970E-1,2.390375000E3
7.946231970E-1,2.390375000E3
7.972471970E-1,2.390375000E3
7.998721970E-1,2.390375000E3
8.024961970E-1,2.390375000E3
8.051211970E-1,2.390375000E3
8.077451970E-1,2.390375000E3
8.103701970E-1,2.396750000E3
8.129941970E-1,2.396750000E3
8.156191970E-1,2.396750000E3
8.182431970E-1,2.396750000E3
8.208681970E-1,2.396750000E3
8.234921970E-1,2.396750000E3
8.261171970E-1,2.396750000E3
8.287421970E-1,2.396750000E3
8.313661970E-1,2.396750000E3
8.339911970E-1,2.396750000E3
8.366151970E-1,2.396750000E3
8.392401970E-1,2.396750000E3
8.418641970E-1,2.396750000E3
8.444891970E-1,2.396750000E3
8.471131970E-1,2.396750000E3
8.497381970E-1,2.396750000E3
8.523621970E-1,2.396750000E3
8.549871970E-1,2.396750000E3
8.576111970E-1,2.396750000E3
8.602361970E-1,2.396750000E3
8.628601970E-1,2.396750000E3
8.654851970E-1,2.396750000E3
8.681091970E-1,2.396750000E3
8.707341970E-1,2.396750000E3
8.733581970E-1,2.396750000E3
8.759831970E-1,2.396750000E3
8.786071970E-1,2.396750000E3
8.812321970E-1,2.396750000E3
8.838561970E-1,2.396750000E3
8.864811970E-1,2.396750000E3
8.891051970E-1,2.396750000E3
8.917301970E-1,2.396750000E3
8.943541970E-1,2.396750000E3
8.969791970E-1,2.396750000E3
8.996031970E-1,2.396750000E3
9.022281970E-1,2.396750000E3
9.048521970E-1,2.396750000E3
9.074771970E-1,2.396750000E3
9.101011970E-1,2.396750000E3
9.127261970E-1,2.396750000E3
9.153501970E-1,2.396750000E3
9.179751970E-1,2.396750000E3
9.205991970E-1,2.396750000E3
9.232241970E-1,2.396750000E3
9.258481970E-1,2.396750000E3
9.284731970E-1,2.396750000E3
9.310971970E-1,2.396750000E3
9.337221970E-1,2.396750000E3
9.363461970E-1,2.396750000E3
9.389711970E-1,2.396750000E3
9.415961970E-1,2.396750000E3
9.442201970E-1,2.396750000E3
9.468451970E-1,2.396750000E3
9.494691970E-1,2.396750000E3
9.520941970E-1,2.396750000E3
9.547181970E-1,2.396750000E3
9.573431970E-1,2.396750000E3
9.599671970E-1,2.396750000E3
9.625921970E-1,2.396750000E3
9.652161970E-1,2.396750000E3
9.678411970E-1,2.396750000E3
9.704651970E-1,2.396750000E3
9.730901970E-1,2.396750000E3
9.757141970E-1,2.396750000E3
9.783391970E-1,2.396750000E3
9.809631970E-1,2.396750000E3
9.835881970E-1,2.396750000E3
9.862121970E-1,2.396750000E3
9.888371970E-1,2.396750000E3
9.914611970E-1,2.396750000E3
9.940861970E-1,2.396750000E3
9.967101970E-1,2.396750000E3
9.993351970E-1,2.396750000E3
1.001959197E0,2.396750000E3
1.004584197E0,2.396750000E3
1.007208197E0,2.396750000E3
1.009833197E0,2.396750000E3
1.012457197E0,2.396750000E3
1.015082197E0,2.396750000E3
1.017706197E0,2.396750000E3
1.020331197E0,2.396750000E3
1.022955197E0,2.396750000E3
1.025580197E0,2.396750000E3
1.028204197E0,2.396750000E3
1.030829197E0,2.396750000E3
1.033453197E0,2.396750000E3
1.036078197E0,2.396750000E3
1.038702197E0,2.396750000E3
1.041327197E0,2.396750000E3
1.043951197E0,2.396750000E3
1.046576197E0,2.396750000E3
1.049200197E0,2.396750000E3
1.051825197E0,2.396750000E3
