"Time (s)","Illuminance (lx)"
0.000000000E0,2.222875000E3
3.801672000E-3,2.222875000E3
1.393367200E-2,2.222875000E3
2.406567200E-2,2.222875000E3
3.419767200E-2,2.222875000E3
4.432867200E-2,2.222875000E3
4.698367200E-2,2.222875000E3
4.960867200E-2,2.222875000E3
5.223267200E-2,2.222875000E3
5.485767200E-2,2.222875000E3
5.748167200E-2,2.222875000E3
6.010667200E-2,2.222875000E3
6.273067200E-2,2.222875000E3
6.535567200E-2,2.222875000E3
6.798067200E-2,2.222875000E3
7.060467200E-2,2.222875000E3
7.322967200E-2,2.222875000E3
7.585367200E-2,2.222875000E3
7.847867200E-2,2.222875000E3
8.110267200E-2,2.222875000E3
8.372767200E-2,2.222875000E3
8.635167200E-2,2.222875000E3
8.897667200E-2,2.222875000E3
9.160067200E-2,2.222875000E3
9.422567200E-2,2.222875000E3
9.684967200E-2,2.222875000E3
9.947467200E-2,2.222875000E3
1.020986720E-1,2.222875000E3
1.047236720E-1,2.222875000E3
1.073476720E-1,2.222875000E3
1.099726720E-1,2.222875000E3
1.125966720E-1,2.222875000E3
1.152216720E-1,2.222875000E3
1.178456720E-1,2.222875000E3
1.204706720E-1,2.222875000E3
1.230946720E-1,2.222875000E3
1.257196720E-1,2.222875000E3
1.283436720E-1,2.222875000E3
1.309686720E-1,2.222875000E3
1.335926720E-1,2.222875000E3
1.362176720E-1,2.222875000E3
1.388416720E-1,2.222875000E3
1.414666720E-1,2.222875000E3
1.440906720E-1,2.222875000E3
1.467156720E-1,2.222875000E3
1.493396720E-1,2.222875000E3
1.519646720E-1,2.222875000E3
1.545886720E-1,2.222875000E3
1.572136720E-1,2.222875000E3
1.598376720E-1,2.222875000E3
1.624626720E-1,2.222875000E3
1.650866720E-1,2.222875000E3
1.677116720E-1,2.222875000E3
1.703356720E-1,2.222875000E3
1.729606720E-1,2.222875000E3
1.755846720E-1,2.222875000E3
1.782096720E-1,2.222875000E3
1.808346720E-1,2.222875000E3
1.834586720E-1,2.222875000E3
1.860836720E-1,2.222875000E3
1.887076720E-1,2.222875000E3
1.913326720E-1,2.222875000E3
1.939566720E-1,2.222875000E3
1.965816720E-1,2.222875000E3
1.992056720E-1,2.222875000E3
2.018306720E-1,2.222875000E3
2.044546720E-1,2.222875000E3
2.070796720E-1,2.222875000E3
2.097036720E-1,2.222875000E3
2.123286720E-1,2.222875000E3
2.149526720E-1,2.222875000E3
2.175776720E-1,2.222875000E3
2.202016720E-1,2.222875000E3
2.228266720E-1,2.222875000E3
2.254506720E-1,2.222875000E3
2.280756720E-1,2.222875000E3
2.306996720E-1,2.222875000E3
2.333246720E-1,2.222875000E3
2.359486720E-1,2.222875000E3
2.385736720E-1,2.222875000E3
2.411976720E-1,2.222875000E3
2.438226720E-1,2.222875000E3
2.464466720E-1,2.222875000E3
2.490716720E-1,2.222875000E3
2.516956720E-1,2.222875000E3
2.543206720E-1,2.222875000E3
2.569446720E-1,2.222875000E3
2.595696720E-1,2.222875000E3
2.621936720E-1,2.222875000E3
2.648186720E-1,2.222875000E3
2.674426720E-1,2.222875000E3
2.700676720E-1,2.222875000E3
2.726916720E-1,2.222875000E3
2.753166720E-1,2.222875000E3
2.779406720E-1,2.222875000E3
2.805656720E-1,2.222875000E3
2.831896720E-1,2.222875000E3
2.858146720E-1,2.222875000E3
2.884386720E-1,2.222875000E3
2.910636720E-1,2.222875000E3
2.936886720E-1,2.222875000E3
2.963126720E-1,2.222875000E3
2.989376720E-1,2.222875000E3
3.015616720E-1,2.222875000E3
3.041866720E-1,2.222875000E3
3.068106720E-1,2.222875000E3
3.094356720E-1,2.222875000E3
3.120596720E-1,2.222875000E3
3.146846720E-1,2.222875000E3
3.173086720E-1,2.222875000E3
3.199336720E-1,2.222875000E3
3.225576720E-1,2.222875000E3
3.251826720E-1,2.222875000E3
3.278066720E-1,2.222875000E3
3.304316720E-1,2.222875000E3
3.330556720E-1,2.222875000E3
3.356806720E-1,2.222875000E3
3.383046720E-1,2.222875000E3
3.409296720E-1,2.222875000E3
3.435536720E-1,2.222875000E3
3.461786720E-1,2.222875000E3
3.488026720E-1,2.222875000E3
3.514276720E-1,2.222875000E3
3.540516720E-1,2.222875000E3
3.566766720E-1,2.222875000E3
3.593006720E-1,2.222875000E3
3.619256720E-1,2.222875000E3
3.645496720E-1,2.222875000E3
3.671746720E-1,2.222875000E3
3.697986720E-1,2.222875000E3
3.724236720E-1,2.222875000E3
3.750476720E-1,2.222875000E3
3.776726720E-1,2.222875000E3
3.802966720E-1,2.222875000E3
3.829216720E-1,2.222875000E3
3.855456720E-1,2.222875000E3
3.881706720E-1,2.222875000E3
3.907946720E-1,2.222875000E3
3.934196720E-1,2.222875000E3
3.960436720E-1,2.222875000E3
3.986686720E-1,2.222875000E3
4.012926720E-1,2.222875000E3
4.039176720E-1,2.222875000E3
4.065426720E-1,2.222875000E3
4.091666720E-1,2.222875000E3
4.117916720E-1,2.222875000E3
4.144156720E-1,2.222875000E3
4.170406720E-1,2.222875000E3
4.196646720E-1,2.222875000E3
4.222896720E-1,2.222875000E3
4.249136720E-1,2.222875000E3
4.275386720E-1,2.222875000E3
4.301626720E-1,2.222875000E3
4.327876720E-1,2.222875000E3
4.354116720E-1,2.222875000E3
4.380366720E-1,2.222875000E3
4.406606720E-1,2.222875000E3
4.432856720E-1,2.222875000E3
4.459096720E-1,2.222875000E3
4.485346720E-1,2.222875000E3
4.511586720E-1,2.222875000E3
4.537836720E-1,2.222875000E3
4.564076720E-1,2.222875000E3
4.590326720E-1,2.222875000E3
