"event","experiment time","system time","system time text"
"START",0.000000000E0,1736980854.950,"2025-01-15 17:40:54.950 UTC-05:00"
"PAUSE",5.677419996E0,1736980860.627,"2025-01-15 17:41:00.627 UTC-05:00"
"START",5.677419996E0,1736980870.790,"2025-01-15 17:41:10.790 UTC-05:00"
"PAUSE",1.090192607E1,1736980876.015,"2025-01-15 17:41:16.015 UTC-05:00"
"START",1.090192607E1,1736980880.916,"2025-01-15 17:41:20.916 UTC-05:00"
"PAUSE",1.574328153E1,1736980885.758,"2025-01-15 17:41:25.758 UTC-05:00"
"START",1.574328153E1,1736980892.310,"2025-01-15 17:41:32.310 UTC-05:00"
"PAUSE",2.082038533E1,1736980897.387,"2025-01-15 17:41:37.387 UTC-05:00"
"START",2.082038533E1,1736980900.811,"2025-01-15 17:41:40.811 UTC-05:00"
"PAUSE",2.606172275E1,1736980906.052,"2025-01-15 17:41:46.052 UTC-05:00"
"START",2.606172275E1,1736980915.703,"2025-01-15 17:41:55.703 UTC-05:00"
"PAUSE",3.173109409E1,1736980921.372,"2025-01-15 17:42:01.372 UTC-05:00"
"START",3.173109409E1,1736980924.549,"2025-01-15 17:42:04.549 UTC-05:00"
"PAUSE",3.657329824E1,1736980929.392,"2025-01-15 17:42:09.392 UTC-05:00"
"START",3.657329824E1,1736980932.661,"2025-01-15 17:42:12.661 UTC-05:00"
"PAUSE",4.152432320E1,1736980937.612,"2025-01-15 17:42:17.612 UTC-05:00"
"START",4.152432320E1,1736980940.515,"2025-01-15 17:42:20.515 UTC-05:00"
"PAUSE",4.677560920E1,1736980945.766,"2025-01-15 17:42:25.766 UTC-05:00"
"START",4.677560920E1,1736980948.088,"2025-01-15 17:42:28.088 UTC-05:00"
"PAUSE",5.099715839E1,1736980952.310,"2025-01-15 17:42:32.310 UTC-05:00"
"START",5.099715839E1,1736980954.309,"2025-01-15 17:42:34.309 UTC-05:00"
"PAUSE",5.530316662E1,1736980958.615,"2025-01-15 17:42:38.615 UTC-05:00"
"START",5.530316662E1,1736980967.668,"2025-01-15 17:42:47.668 UTC-05:00"
"PAUSE",5.984909046E1,1736980972.214,"2025-01-15 17:42:52.214 UTC-05:00"
"START",5.984909046E1,1736980974.425,"2025-01-15 17:42:54.425 UTC-05:00"
"PAUSE",6.486707884E1,1736980979.443,"2025-01-15 17:42:59.443 UTC-05:00"
"START",6.486707884E1,1736981007.638,"2025-01-15 17:43:27.638 UTC-05:00"
"PAUSE",6.974782780E1,1736981012.519,"2025-01-15 17:43:32.519 UTC-05:00"
"START",6.974782780E1,1736981017.432,"2025-01-15 17:43:37.432 UTC-05:00"
"PAUSE",7.491281495E1,1736981022.597,"2025-01-15 17:43:42.597 UTC-05:00"
"START",7.491281495E1,1736981027.406,"2025-01-15 17:43:47.406 UTC-05:00"
"PAUSE",8.066048995E1,1736981033.154,"2025-01-15 17:43:53.154 UTC-05:00"
"START",8.066048995E1,1736981036.366,"2025-01-15 17:43:56.366 UTC-05:00"
"PAUSE",8.598020952E1,1736981041.686,"2025-01-15 17:44:01.686 UTC-05:00"
"START",8.598020952E1,1736981044.065,"2025-01-15 17:44:04.065 UTC-05:00"
"PAUSE",9.096680655E1,1736981049.051,"2025-01-15 17:44:09.051 UTC-05:00"
"START",9.096680655E1,1736981051.583,"2025-01-15 17:44:11.583 UTC-05:00"
"PAUSE",9.590484601E1,1736981056.521,"2025-01-15 17:44:16.521 UTC-05:00"
"START",9.590484601E1,1736981060.586,"2025-01-15 17:44:20.586 UTC-05:00"
"PAUSE",1.008177475E2,1736981065.499,"2025-01-15 17:44:25.499 UTC-05:00"
"START",1.008177475E2,1736981068.405,"2025-01-15 17:44:28.405 UTC-05:00"
"PAUSE",1.058705257E2,1736981073.458,"2025-01-15 17:44:33.458 UTC-05:00"
"START",1.058705257E2,1736981080.052,"2025-01-15 17:44:40.052 UTC-05:00"
"PAUSE",1.111788448E2,1736981085.360,"2025-01-15 17:44:45.360 UTC-05:00"
"START",1.111788448E2,1736981087.653,"2025-01-15 17:44:47.653 UTC-05:00"
"PAUSE",1.165319047E2,1736981093.006,"2025-01-15 17:44:53.006 UTC-05:00"
"START",1.165319047E2,1736981096.419,"2025-01-15 17:44:56.419 UTC-05:00"
"PAUSE",1.214314757E2,1736981101.319,"2025-01-15 17:45:01.319 UTC-05:00"
"START",1.214314757E2,1736981105.442,"2025-01-15 17:45:05.442 UTC-05:00"
"PAUSE",1.260722035E2,1736981110.083,"2025-01-15 17:45:10.083 UTC-05:00"
"START",1.260722035E2,1736981112.558,"2025-01-15 17:45:12.558 UTC-05:00"
"PAUSE",1.308993910E2,1736981117.386,"2025-01-15 17:45:17.386 UTC-05:00"
"START",1.308993910E2,1736981120.661,"2025-01-15 17:45:20.661 UTC-05:00"
