"Time (s)","Illuminance (lx)"
0.000000000E0,2.255000000E2
2.559647700E-2,2.320000000E2
3.572847700E-2,2.320000000E2
3.838347700E-2,2.320000000E2
4.100747700E-2,2.320000000E2
4.363247700E-2,2.320000000E2
4.625647700E-2,2.320000000E2
4.888147700E-2,2.320000000E2
5.150547700E-2,2.320000000E2
5.413047700E-2,2.320000000E2
5.675447700E-2,2.320000000E2
5.937947700E-2,2.320000000E2
6.200447700E-2,2.320000000E2
6.462847700E-2,2.320000000E2
6.725347700E-2,2.320000000E2
6.987747700E-2,2.320000000E2
7.250247700E-2,2.320000000E2
7.512647700E-2,2.320000000E2
7.775147700E-2,2.320000000E2
8.037547700E-2,2.320000000E2
8.300047700E-2,2.320000000E2
8.562447700E-2,2.320000000E2
8.824947700E-2,2.320000000E2
9.087347700E-2,2.320000000E2
9.349847700E-2,2.320000000E2
9.612247700E-2,2.320000000E2
9.874747700E-2,2.320000000E2
1.013714770E-1,2.320000000E2
1.039964770E-1,2.320000000E2
1.066204770E-1,2.320000000E2
1.092454770E-1,2.320000000E2
1.118694770E-1,2.320000000E2
1.144944770E-1,2.320000000E2
1.171184770E-1,2.320000000E2
1.197434770E-1,2.320000000E2
1.223674770E-1,2.320000000E2
1.249924770E-1,2.320000000E2
1.276164770E-1,2.320000000E2
1.302414770E-1,2.320000000E2
1.328654770E-1,2.320000000E2
1.354904770E-1,2.320000000E2
1.381144770E-1,2.320000000E2
1.407394770E-1,2.320000000E2
1.433634770E-1,2.320000000E2
1.459884770E-1,2.320000000E2
1.486124770E-1,2.320000000E2
1.512374770E-1,2.320000000E2
1.538614770E-1,2.320000000E2
1.564864770E-1,2.320000000E2
1.591104770E-1,2.383750000E2
1.617354770E-1,2.383750000E2
1.643594770E-1,2.383750000E2
1.669844770E-1,2.383750000E2
1.696084770E-1,2.383750000E2
1.722334770E-1,2.383750000E2
1.748584770E-1,2.383750000E2
1.774824770E-1,2.383750000E2
1.801074770E-1,2.383750000E2
1.827314770E-1,2.383750000E2
1.853564770E-1,2.383750000E2
1.879804770E-1,2.383750000E2
1.906054770E-1,2.383750000E2
1.932294770E-1,2.383750000E2
1.958544770E-1,2.383750000E2
1.984784770E-1,2.383750000E2
2.011034770E-1,2.383750000E2
2.037274770E-1,2.383750000E2
2.063524770E-1,2.383750000E2
2.089764770E-1,2.383750000E2
2.116014770E-1,2.448750000E2
2.142254770E-1,2.448750000E2
2.168504770E-1,2.448750000E2
2.194744770E-1,2.448750000E2
2.220994770E-1,2.448750000E2
2.247234770E-1,2.448750000E2
2.273484770E-1,2.448750000E2
2.299724770E-1,2.448750000E2
2.325974770E-1,2.448750000E2
2.352214770E-1,2.448750000E2
2.378464770E-1,2.448750000E2
2.404704770E-1,2.448750000E2
2.430954770E-1,2.448750000E2
2.457194770E-1,2.448750000E2
2.483444770E-1,2.448750000E2
2.509684770E-1,2.448750000E2
2.535934770E-1,2.448750000E2
2.562174770E-1,2.448750000E2
2.588424770E-1,2.448750000E2
2.614664770E-1,2.512500000E2
2.640914770E-1,2.512500000E2
2.667154770E-1,2.512500000E2
2.693404770E-1,2.512500000E2
2.719644770E-1,2.512500000E2
2.745894770E-1,2.512500000E2
2.772134770E-1,2.512500000E2
2.798384770E-1,2.512500000E2
2.824634770E-1,2.512500000E2
2.850874770E-1,2.512500000E2
2.877124770E-1,2.577500000E2
2.903364770E-1,2.577500000E2
2.929614770E-1,2.577500000E2
2.955854770E-1,2.577500000E2
2.982104770E-1,2.577500000E2
3.008344770E-1,2.577500000E2
3.034594770E-1,2.577500000E2
3.060834770E-1,2.577500000E2
3.087084770E-1,2.577500000E2
3.113324770E-1,2.577500000E2
3.139574770E-1,2.577500000E2
3.165814770E-1,2.577500000E2
3.192064770E-1,2.577500000E2
3.218304770E-1,2.577500000E2
3.244554770E-1,2.577500000E2
3.270794770E-1,2.577500000E2
3.297044770E-1,2.577500000E2
3.323284770E-1,2.577500000E2
3.349534770E-1,2.577500000E2
3.375774770E-1,2.641250000E2
3.402024770E-1,2.641250000E2
3.428264770E-1,2.641250000E2
3.454514770E-1,2.641250000E2
3.480754770E-1,2.641250000E2
3.507004770E-1,2.641250000E2
3.533244770E-1,2.641250000E2
3.559494770E-1,2.641250000E2
3.585734770E-1,2.641250000E2
3.611984770E-1,2.641250000E2
3.638224770E-1,2.706250000E2
3.664474770E-1,2.706250000E2
3.690714770E-1,2.706250000E2
3.716964770E-1,2.706250000E2
3.743204770E-1,2.706250000E2
3.769454770E-1,2.706250000E2
3.795694770E-1,2.706250000E2
3.821944770E-1,2.706250000E2
3.848184770E-1,2.706250000E2
3.874434770E-1,2.706250000E2
3.900674770E-1,2.770000000E2
3.926924770E-1,2.770000000E2
3.953174770E-1,2.770000000E2
3.979414770E-1,2.770000000E2
4.005664770E-1,2.770000000E2
4.031904770E-1,2.770000000E2
4.058154770E-1,2.770000000E2
4.084394770E-1,2.770000000E2
4.110644770E-1,2.770000000E2
4.136884770E-1,2.835000000E2
4.163134770E-1,2.835000000E2
4.189374770E-1,2.835000000E2
4.215624770E-1,2.835000000E2
4.241864770E-1,2.835000000E2
4.268114770E-1,2.835000000E2
4.294354770E-1,2.835000000E2
4.320604770E-1,2.835000000E2
4.346844770E-1,2.835000000E2
4.373094770E-1,2.835000000E2
4.399334770E-1,2.898750000E2
4.425584770E-1,2.898750000E2
4.451824770E-1,2.898750000E2
4.478074770E-1,2.898750000E2
4.504314770E-1,2.898750000E2
4.530564770E-1,2.898750000E2
4.556804770E-1,2.898750000E2
4.583054770E-1,2.898750000E2
4.609294770E-1,2.898750000E2
4.635544770E-1,2.898750000E2
4.661784770E-1,2.963750000E2
4.688034770E-1,2.963750000E2
4.714274770E-1,2.963750000E2
4.740524770E-1,2.963750000E2
4.766764770E-1,2.963750000E2
4.793014770E-1,2.963750000E2
4.819254770E-1,2.963750000E2
4.845504770E-1,2.963750000E2
4.871744770E-1,2.963750000E2
4.897994770E-1,2.963750000E2
4.924234770E-1,2.963750000E2
4.950484770E-1,2.963750000E2
4.976724770E-1,2.963750000E2
5.002974770E-1,2.963750000E2
5.029214770E-1,2.963750000E2
5.055464770E-1,2.963750000E2
5.081714770E-1,2.963750000E2
5.107954770E-1,2.963750000E2
5.134204770E-1,2.963750000E2
5.160444770E-1,2.963750000E2
5.186694770E-1,2.963750000E2
5.212934770E-1,2.963750000E2
5.239184770E-1,2.963750000E2
5.265424770E-1,2.963750000E2
5.291674770E-1,2.963750000E2
5.317914770E-1,2.963750000E2
5.344164770E-1,2.963750000E2
5.370404770E-1,2.963750000E2
5.396654770E-1,3.028750000E2
5.422894770E-1,3.028750000E2
5.449144770E-1,3.028750000E2
5.475384770E-1,3.028750000E2
5.501634770E-1,3.028750000E2
5.527874770E-1,3.028750000E2
5.554124770E-1,3.028750000E2
5.580364770E-1,3.028750000E2
5.606614770E-1,3.028750000E2
5.632854770E-1,3.028750000E2
5.659104770E-1,3.028750000E2
5.685344770E-1,3.157500000E2
