"Time (s)","Illuminance (lx)"
0.000000000E0,6.437500000E1
1.310674900E-2,6.437500000E1
2.323874900E-2,6.437500000E1
3.337074900E-2,6.437500000E1
3.602574900E-2,6.437500000E1
3.864974900E-2,6.437500000E1
4.127474900E-2,6.437500000E1
4.389874900E-2,6.437500000E1
4.652374900E-2,6.437500000E1
4.914774900E-2,6.437500000E1
5.177274900E-2,6.437500000E1
5.439674900E-2,6.437500000E1
5.702174900E-2,6.437500000E1
5.964574900E-2,6.437500000E1
6.227074900E-2,6.437500000E1
6.489474900E-2,6.437500000E1
6.751974900E-2,6.437500000E1
7.014374900E-2,6.437500000E1
7.276874900E-2,6.437500000E1
7.539274900E-2,6.437500000E1
7.801774900E-2,6.437500000E1
8.064174900E-2,6.437500000E1
8.326674900E-2,6.437500000E1
8.589074900E-2,6.437500000E1
8.851574900E-2,6.437500000E1
9.113974900E-2,6.437500000E1
9.376474900E-2,6.437500000E1
9.638974900E-2,6.437500000E1
9.901374900E-2,6.437500000E1
1.016387490E-1,6.437500000E1
1.042627490E-1,6.437500000E1
1.068877490E-1,6.437500000E1
1.095117490E-1,6.437500000E1
1.121367490E-1,6.437500000E1
1.147607490E-1,6.437500000E1
1.173857490E-1,6.437500000E1
1.200097490E-1,6.437500000E1
1.226347490E-1,6.437500000E1
1.252587490E-1,6.437500000E1
1.278837490E-1,6.437500000E1
1.305077490E-1,6.437500000E1
1.331327490E-1,6.437500000E1
1.357567490E-1,6.437500000E1
1.383817490E-1,6.437500000E1
1.410057490E-1,6.437500000E1
1.436307490E-1,6.437500000E1
1.462547490E-1,6.437500000E1
1.488797490E-1,6.437500000E1
1.515037490E-1,6.437500000E1
1.541287490E-1,6.437500000E1
1.567527490E-1,6.437500000E1
1.593777490E-1,6.437500000E1
1.620017490E-1,6.437500000E1
1.646267490E-1,6.437500000E1
1.672507490E-1,6.437500000E1
1.698757490E-1,6.437500000E1
1.724997490E-1,6.437500000E1
1.751247490E-1,6.437500000E1
1.777487490E-1,6.437500000E1
1.803737490E-1,6.437500000E1
1.829977490E-1,6.437500000E1
1.856227490E-1,6.437500000E1
1.882467490E-1,6.437500000E1
1.908717490E-1,6.437500000E1
1.934957490E-1,6.437500000E1
1.961207490E-1,6.437500000E1
1.987447490E-1,6.437500000E1
2.013697490E-1,6.437500000E1
2.039937490E-1,6.437500000E1
2.066187490E-1,6.437500000E1
2.092437490E-1,6.437500000E1
2.118677490E-1,6.437500000E1
2.144927490E-1,6.437500000E1
2.171167490E-1,6.437500000E1
2.197417490E-1,6.437500000E1
2.223657490E-1,6.437500000E1
2.249907490E-1,6.437500000E1
2.276147490E-1,6.437500000E1
2.302397490E-1,6.437500000E1
2.328637490E-1,6.437500000E1
2.354887490E-1,6.437500000E1
2.381127490E-1,6.437500000E1
2.407377490E-1,6.437500000E1
2.433617490E-1,6.437500000E1
2.459867490E-1,6.437500000E1
2.486107490E-1,6.437500000E1
2.512357490E-1,6.437500000E1
2.538597490E-1,6.437500000E1
2.564847490E-1,6.437500000E1
2.591087490E-1,6.437500000E1
2.617337490E-1,6.437500000E1
2.643577490E-1,6.437500000E1
2.669827490E-1,6.437500000E1
2.696067490E-1,6.437500000E1
2.722317490E-1,6.437500000E1
2.748557490E-1,6.437500000E1
2.774807490E-1,6.437500000E1
2.801047490E-1,6.437500000E1
2.827297490E-1,6.437500000E1
2.853537490E-1,6.437500000E1
2.879787490E-1,6.437500000E1
2.906027490E-1,6.437500000E1
2.932277490E-1,6.437500000E1
2.958517490E-1,6.437500000E1
2.984767490E-1,6.437500000E1
3.011007490E-1,6.437500000E1
3.037257490E-1,6.437500000E1
3.063497490E-1,6.437500000E1
3.089747490E-1,6.437500000E1
3.115987490E-1,6.437500000E1
3.142237490E-1,6.437500000E1
3.168477490E-1,6.437500000E1
3.194727490E-1,6.437500000E1
3.220977490E-1,6.437500000E1
