"Time (s)","Illuminance (lx)"
0.000000000E0,1.160000000E2
6.386843000E-3,1.160000000E2
9.041843000E-3,1.160000000E2
1.166684300E-2,1.160000000E2
1.429084300E-2,1.160000000E2
1.691584300E-2,1.160000000E2
1.953984300E-2,1.160000000E2
2.216484300E-2,1.160000000E2
2.478884300E-2,1.160000000E2
2.741384300E-2,1.160000000E2
3.003884300E-2,1.160000000E2
3.266284300E-2,1.160000000E2
3.528784300E-2,1.160000000E2
3.791184300E-2,1.160000000E2
4.053684300E-2,1.160000000E2
4.316084300E-2,1.160000000E2
4.578584300E-2,1.160000000E2
4.840984300E-2,1.160000000E2
5.103484300E-2,1.160000000E2
5.365884300E-2,1.160000000E2
5.628384300E-2,1.160000000E2
5.890784300E-2,1.160000000E2
6.153284300E-2,1.160000000E2
6.415684300E-2,1.160000000E2
6.678184300E-2,1.160000000E2
6.940584300E-2,1.160000000E2
7.203084300E-2,1.160000000E2
7.465484300E-2,1.160000000E2
7.727984300E-2,1.160000000E2
7.990384300E-2,1.160000000E2
8.252884300E-2,1.160000000E2
8.515284300E-2,1.160000000E2
8.777784300E-2,1.160000000E2
9.040184300E-2,1.160000000E2
9.302684300E-2,1.160000000E2
9.565084300E-2,1.160000000E2
9.827584300E-2,1.160000000E2
1.008998430E-1,1.160000000E2
1.035248430E-1,1.160000000E2
1.061488430E-1,1.160000000E2
1.087738430E-1,1.160000000E2
1.113978430E-1,1.160000000E2
1.140228430E-1,1.160000000E2
1.166468430E-1,1.160000000E2
1.192718430E-1,1.160000000E2
1.218958430E-1,1.160000000E2
1.245208430E-1,1.160000000E2
1.271448430E-1,1.160000000E2
1.297698430E-1,1.160000000E2
1.323938430E-1,1.160000000E2
1.350188430E-1,1.160000000E2
1.376428430E-1,1.160000000E2
1.402678430E-1,1.160000000E2
1.428928430E-1,1.160000000E2
1.455168430E-1,1.160000000E2
1.481418430E-1,1.160000000E2
1.507658430E-1,1.160000000E2
1.533908430E-1,1.160000000E2
1.560148430E-1,1.160000000E2
1.586398430E-1,1.160000000E2
1.612638430E-1,1.160000000E2
1.638888430E-1,1.160000000E2
1.665128430E-1,1.160000000E2
1.691378430E-1,1.160000000E2
1.717618430E-1,1.160000000E2
1.743868430E-1,1.160000000E2
1.770108430E-1,1.160000000E2
1.796358430E-1,1.160000000E2
1.822598430E-1,1.160000000E2
1.848848430E-1,1.160000000E2
1.875088430E-1,1.160000000E2
1.901338430E-1,1.160000000E2
1.927578430E-1,1.160000000E2
1.953828430E-1,1.160000000E2
1.980068430E-1,1.160000000E2
2.006318430E-1,1.160000000E2
2.032558430E-1,1.160000000E2
2.058808430E-1,1.160000000E2
2.085048430E-1,1.160000000E2
2.111298430E-1,1.160000000E2
2.137538430E-1,1.160000000E2
2.163788430E-1,1.160000000E2
2.190028430E-1,1.160000000E2
2.216278430E-1,1.160000000E2
2.242518430E-1,1.160000000E2
2.268768430E-1,1.160000000E2
2.295008430E-1,1.160000000E2
2.321258430E-1,1.160000000E2
2.347498430E-1,1.160000000E2
2.373748430E-1,1.160000000E2
2.399988430E-1,1.160000000E2
2.426238430E-1,1.160000000E2
2.452478430E-1,1.160000000E2
2.478728430E-1,1.160000000E2
2.504968430E-1,1.160000000E2
2.531218430E-1,1.160000000E2
2.557468430E-1,1.160000000E2
2.583708430E-1,1.160000000E2
2.609958430E-1,1.160000000E2
2.636198430E-1,1.160000000E2
2.662448430E-1,1.160000000E2
2.688688430E-1,1.160000000E2
2.714938430E-1,1.160000000E2
2.741178430E-1,1.160000000E2
2.767428430E-1,1.160000000E2
2.793668430E-1,1.160000000E2
2.819918430E-1,1.160000000E2
2.846158430E-1,1.160000000E2
2.872408430E-1,1.160000000E2
2.898648430E-1,1.160000000E2
2.924898430E-1,1.160000000E2
2.951138430E-1,1.160000000E2
2.977388430E-1,1.160000000E2
3.003628430E-1,1.160000000E2
3.029878430E-1,1.160000000E2
3.056118430E-1,1.160000000E2
3.082368430E-1,1.160000000E2
3.108608430E-1,1.160000000E2
3.134858430E-1,1.160000000E2
3.161098430E-1,1.160000000E2
3.187348430E-1,1.160000000E2
3.213588430E-1,1.160000000E2
3.239838430E-1,1.160000000E2
3.266078430E-1,1.160000000E2
3.292328430E-1,1.160000000E2
3.318568430E-1,1.160000000E2
3.344818430E-1,1.160000000E2
3.371058430E-1,1.160000000E2
3.397308430E-1,1.160000000E2
3.423548430E-1,1.160000000E2
3.449798430E-1,1.160000000E2
3.476038430E-1,1.160000000E2
3.502288430E-1,1.160000000E2
3.528528430E-1,1.160000000E2
3.554778430E-1,1.160000000E2
3.581018430E-1,1.160000000E2
3.607268430E-1,1.160000000E2
3.633508430E-1,1.160000000E2
3.659758430E-1,1.160000000E2
3.686008430E-1,1.160000000E2
3.712248430E-1,1.160000000E2
3.738498430E-1,1.160000000E2
3.764738430E-1,1.160000000E2
3.790988430E-1,1.160000000E2
3.817228430E-1,1.160000000E2
3.843478430E-1,1.160000000E2
3.869718430E-1,1.160000000E2
3.895968430E-1,1.160000000E2
3.922208430E-1,1.160000000E2
3.948458430E-1,1.160000000E2
3.974698430E-1,1.160000000E2
4.000948430E-1,1.160000000E2
4.027188430E-1,1.160000000E2
4.053438430E-1,1.160000000E2
4.079678430E-1,1.160000000E2
4.105928430E-1,1.160000000E2
4.132168430E-1,1.160000000E2
4.158418430E-1,1.160000000E2
4.184658430E-1,1.160000000E2
4.210908430E-1,1.160000000E2
