proeprty,value
version,1.1.16
build,1011602
fileFormat,1.18
deviceModel,Nokia G21
deviceBrand,Nokia
deviceBoard,ShadowcatPlus
deviceManufacturer,HMD Global
deviceBaseOS,Nokia/ShadowcatPlus_00WW/SCPA_sprout:13/TP1A.220624.014/00WW_3_530:user/release-keys
deviceCodename,REL
deviceRelease,13
depthFrontSensor,0
depthFrontResolution,
depthFrontRate,
depthBackSensor,0
depthBackResolution,
depthBackRate,
accelerometer Name,Accelerometer Sensor
accelerometer Vendor,Sprd Group Ltd.
accelerometer Range,78.4532
accelerometer Resolution,0.0023942017
accelerometer MinDelay,2500
accelerometer MaxDelay,320000
accelerometer Power,0.17
accelerometer Version,1
linear_acceleration Name,
linear_acceleration Vendor,
linear_acceleration Range,
linear_acceleration Resolution,
linear_acceleration MinDelay,
linear_acceleration MaxDelay,
linear_acceleration Power,
linear_acceleration Version,
gravity Name,
gravity Vendor,
gravity Range,
gravity Resolution,
gravity MinDelay,
gravity MaxDelay,
gravity Power,
gravity Version,
gyroscope Name,
gyroscope Vendor,
gyroscope Range,
gyroscope Resolution,
gyroscope MinDelay,
gyroscope MaxDelay,
gyroscope Power,
gyroscope Version,
magnetic_field Name,
magnetic_field Vendor,
magnetic_field Range,
magnetic_field Resolution,
magnetic_field MinDelay,
magnetic_field MaxDelay,
magnetic_field Power,
magnetic_field Version,
pressure Name,
pressure Vendor,
pressure Range,
pressure Resolution,
pressure MinDelay,
pressure MaxDelay,
pressure Power,
pressure Version,
light Name,Light Sensor
light Vendor,Sprd Group Ltd.
light Range,10240.0
light Resolution,1.0
light MinDelay,0
light MaxDelay,0
light Power,0.15
light Version,1
proximity Name,Proximity Sensor
proximity Vendor,Sprd Group Ltd.
proximity Range,5.0
proximity Resolution,1.0
proximity MinDelay,0
proximity MaxDelay,0
proximity Power,0.15
proximity Version,1
temperature Name,
temperature Vendor,
temperature Range,
temperature Resolution,
temperature MinDelay,
temperature MaxDelay,
temperature Power,
temperature Version,
humidity Name,
humidity Vendor,
humidity Range,
humidity Resolution,
humidity MinDelay,
humidity MaxDelay,
humidity Power,
humidity Version,
attitude Name,
attitude Vendor,
attitude Range,
attitude Resolution,
attitude MinDelay,
attitude MaxDelay,
attitude Power,
attitude Version,
