"Time (s)","Illuminance (lx)"
0.000000000E0,7.087500000E1
9.629551000E-3,7.087500000E1
1.228455100E-2,7.087500000E1
1.490855100E-2,7.087500000E1
1.753355100E-2,7.087500000E1
2.015755100E-2,7.087500000E1
2.278255100E-2,7.087500000E1
2.540655100E-2,7.087500000E1
2.803155100E-2,7.087500000E1
3.065555100E-2,7.087500000E1
3.328055100E-2,7.087500000E1
3.590455100E-2,7.087500000E1
3.852955100E-2,7.087500000E1
4.115355100E-2,7.087500000E1
4.377855100E-2,7.087500000E1
4.640255100E-2,7.087500000E1
4.902755100E-2,7.087500000E1
5.165155100E-2,7.087500000E1
5.427655100E-2,7.087500000E1
5.690055100E-2,7.087500000E1
5.952555100E-2,7.087500000E1
6.214955100E-2,7.087500000E1
6.477455100E-2,7.087500000E1
6.739855100E-2,7.087500000E1
7.002355100E-2,7.087500000E1
7.264755100E-2,7.087500000E1
7.527255100E-2,7.087500000E1
7.789755100E-2,7.087500000E1
8.052155100E-2,7.087500000E1
8.314655100E-2,7.087500000E1
8.577055100E-2,7.087500000E1
8.839555100E-2,7.087500000E1
9.101955100E-2,7.087500000E1
9.364455100E-2,7.087500000E1
9.626855100E-2,7.087500000E1
9.889355100E-2,7.087500000E1
1.015175510E-1,7.087500000E1
1.041425510E-1,7.087500000E1
1.067665510E-1,7.087500000E1
1.093915510E-1,7.087500000E1
1.120155510E-1,7.087500000E1
1.146405510E-1,7.087500000E1
1.172645510E-1,7.087500000E1
1.198895510E-1,7.087500000E1
1.225135510E-1,7.087500000E1
1.251385510E-1,7.087500000E1
1.277625510E-1,7.087500000E1
1.303875510E-1,7.087500000E1
1.330115510E-1,7.087500000E1
1.356365510E-1,7.087500000E1
1.382605510E-1,7.087500000E1
1.408855510E-1,7.087500000E1
1.435095510E-1,7.087500000E1
1.461345510E-1,7.087500000E1
1.487585510E-1,7.087500000E1
1.513835510E-1,7.087500000E1
1.540075510E-1,7.087500000E1
1.566325510E-1,7.087500000E1
1.592565510E-1,7.087500000E1
1.618815510E-1,7.087500000E1
1.645055510E-1,7.087500000E1
1.671305510E-1,7.087500000E1
1.697545510E-1,7.087500000E1
1.723795510E-1,7.087500000E1
1.750035510E-1,7.087500000E1
1.776285510E-1,7.087500000E1
1.802525510E-1,7.087500000E1
1.828775510E-1,7.087500000E1
1.855015510E-1,7.087500000E1
1.881265510E-1,7.087500000E1
1.907515510E-1,7.087500000E1
1.933755510E-1,7.087500000E1
1.960005510E-1,7.087500000E1
1.986245510E-1,7.087500000E1
2.012495510E-1,7.087500000E1
2.038735510E-1,7.087500000E1
2.064985510E-1,7.087500000E1
2.091225510E-1,7.087500000E1
2.117475510E-1,7.087500000E1
2.143715510E-1,7.087500000E1
2.169965510E-1,7.087500000E1
2.196205510E-1,7.087500000E1
2.222455510E-1,7.087500000E1
2.248695510E-1,7.087500000E1
2.274945510E-1,7.087500000E1
2.301185510E-1,7.087500000E1
2.327435510E-1,7.087500000E1
2.353675510E-1,7.087500000E1
2.379925510E-1,7.087500000E1
2.406165510E-1,7.087500000E1
2.432415510E-1,7.087500000E1
2.458655510E-1,7.087500000E1
2.484905510E-1,7.087500000E1
2.511145510E-1,7.087500000E1
2.537395510E-1,7.087500000E1
2.563635510E-1,7.087500000E1
2.589885510E-1,7.087500000E1
2.616125510E-1,7.087500000E1
2.642375510E-1,7.087500000E1
2.668615510E-1,7.087500000E1
2.694865510E-1,7.087500000E1
2.721105510E-1,7.087500000E1
2.747355510E-1,7.087500000E1
2.773595510E-1,7.087500000E1
2.799845510E-1,7.087500000E1
2.826085510E-1,7.087500000E1
2.852335510E-1,7.087500000E1
2.878575510E-1,7.087500000E1
2.904825510E-1,7.087500000E1
2.931065510E-1,7.087500000E1
2.957315510E-1,7.087500000E1
2.983555510E-1,7.087500000E1
3.009805510E-1,7.087500000E1
3.036055510E-1,7.087500000E1
3.062295510E-1,7.087500000E1
3.088545510E-1,7.087500000E1
3.114785510E-1,7.087500000E1
3.141035510E-1,7.087500000E1
3.167275510E-1,7.087500000E1
3.193525510E-1,7.087500000E1
3.219765510E-1,7.087500000E1
3.246015510E-1,7.087500000E1
3.272255510E-1,7.087500000E1
3.298505510E-1,7.087500000E1
3.324745510E-1,7.087500000E1
3.350995510E-1,7.087500000E1
3.377235510E-1,7.087500000E1
3.403485510E-1,7.087500000E1
3.429725510E-1,7.087500000E1
3.455975510E-1,7.087500000E1
3.482215510E-1,7.087500000E1
3.508465510E-1,7.087500000E1
3.534705510E-1,7.087500000E1
3.560955510E-1,7.087500000E1
3.587195510E-1,7.087500000E1
3.613445510E-1,7.087500000E1
3.639685510E-1,7.087500000E1
3.665935510E-1,7.087500000E1
3.692175510E-1,7.087500000E1
3.718425510E-1,7.087500000E1
3.744665510E-1,7.087500000E1
3.770915510E-1,7.087500000E1
3.797155510E-1,7.087500000E1
3.823405510E-1,7.087500000E1
3.849645510E-1,7.087500000E1
3.875895510E-1,7.087500000E1
3.902135510E-1,7.087500000E1
3.928385510E-1,7.087500000E1
3.954625510E-1,7.087500000E1
3.980875510E-1,7.087500000E1
4.007115510E-1,7.087500000E1
4.033365510E-1,7.087500000E1
4.059605510E-1,7.087500000E1
4.085855510E-1,7.087500000E1
4.112095510E-1,7.087500000E1
4.138345510E-1,7.087500000E1
4.164595510E-1,7.087500000E1
4.190835510E-1,7.087500000E1
4.217085510E-1,7.087500000E1
4.243325510E-1,7.087500000E1
4.269575510E-1,7.087500000E1
4.295815510E-1,7.087500000E1
4.322065510E-1,7.087500000E1
4.348305510E-1,7.087500000E1
