"Time (s)","Illuminance (lx)"
0.000000000E0,7.087500000E1
3.904045000E-3,7.087500000E1
1.403604500E-2,7.087500000E1
2.416804500E-2,7.087500000E1
3.430004500E-2,7.087500000E1
3.695504500E-2,7.087500000E1
3.957904500E-2,7.087500000E1
4.220404500E-2,7.087500000E1
4.482804500E-2,7.087500000E1
4.745304500E-2,7.087500000E1
5.007704500E-2,7.087500000E1
5.270204500E-2,7.087500000E1
5.532604500E-2,7.087500000E1
5.795104500E-2,7.087500000E1
6.057504500E-2,7.087500000E1
6.320004500E-2,7.087500000E1
6.582404500E-2,7.087500000E1
6.844904500E-2,7.087500000E1
7.107304500E-2,7.087500000E1
7.369804500E-2,7.087500000E1
7.632204500E-2,7.087500000E1
7.894704500E-2,7.087500000E1
8.157104500E-2,7.087500000E1
8.419604500E-2,7.087500000E1
8.682004500E-2,7.087500000E1
8.944504500E-2,7.087500000E1
9.206904500E-2,7.087500000E1
9.469404500E-2,7.087500000E1
9.731804500E-2,7.087500000E1
9.994304500E-2,7.087500000E1
1.025670450E-1,7.087500000E1
1.051920450E-1,7.087500000E1
1.078160450E-1,7.087500000E1
1.104410450E-1,7.087500000E1
1.130650450E-1,7.087500000E1
1.156900450E-1,7.087500000E1
1.183140450E-1,7.087500000E1
1.209390450E-1,7.087500000E1
1.235630450E-1,7.087500000E1
1.261880450E-1,7.087500000E1
1.288130450E-1,7.087500000E1
1.314370450E-1,7.087500000E1
1.340620450E-1,7.087500000E1
1.366860450E-1,7.087500000E1
1.393110450E-1,7.087500000E1
1.419350450E-1,7.087500000E1
1.445600450E-1,7.087500000E1
1.471840450E-1,7.087500000E1
1.498090450E-1,7.087500000E1
1.524330450E-1,7.087500000E1
1.550580450E-1,7.087500000E1
1.576820450E-1,7.087500000E1
1.603070450E-1,7.087500000E1
1.629310450E-1,7.087500000E1
1.655560450E-1,7.087500000E1
1.681800450E-1,7.087500000E1
1.708050450E-1,7.087500000E1
1.734290450E-1,7.087500000E1
1.760540450E-1,7.087500000E1
1.786780450E-1,7.087500000E1
1.813030450E-1,7.087500000E1
1.839270450E-1,7.087500000E1
1.865520450E-1,7.087500000E1
1.891760450E-1,7.087500000E1
1.918010450E-1,7.087500000E1
1.944250450E-1,7.087500000E1
1.970500450E-1,7.087500000E1
1.996740450E-1,7.087500000E1
2.022990450E-1,7.087500000E1
2.049230450E-1,7.087500000E1
2.075480450E-1,7.087500000E1
2.101720450E-1,7.087500000E1
2.127970450E-1,7.087500000E1
2.154210450E-1,7.087500000E1
2.180460450E-1,7.087500000E1
2.206700450E-1,7.087500000E1
2.232950450E-1,7.087500000E1
2.259190450E-1,7.087500000E1
2.285440450E-1,7.087500000E1
2.311680450E-1,7.087500000E1
2.337930450E-1,7.087500000E1
2.364170450E-1,7.087500000E1
2.390420450E-1,7.087500000E1
2.416670450E-1,7.087500000E1
2.442910450E-1,7.087500000E1
2.469160450E-1,7.087500000E1
