"Time (s)","Illuminance (lx)"
0.000000000E0,2.575000000E1
4.793020000E-4,1.937500000E1
1.061130200E-2,1.937500000E1
2.074330200E-2,1.937500000E1
2.339830200E-2,1.937500000E1
2.602330200E-2,1.937500000E1
2.864730200E-2,1.937500000E1
3.389630200E-2,2.575000000E1
3.652130200E-2,2.575000000E1
3.914530200E-2,2.575000000E1
4.177030200E-2,2.575000000E1
4.439430200E-2,2.575000000E1
4.701930200E-2,2.575000000E1
4.964330200E-2,2.575000000E1
5.226830200E-2,2.575000000E1
5.489230200E-2,2.575000000E1
5.751730200E-2,2.575000000E1
6.014130200E-2,2.575000000E1
6.276630200E-2,2.575000000E1
6.539030200E-2,2.575000000E1
6.801530200E-2,2.575000000E1
7.063930200E-2,2.575000000E1
7.326430200E-2,2.575000000E1
7.588830200E-2,2.575000000E1
7.851330200E-2,2.575000000E1
8.113730200E-2,2.575000000E1
8.376230200E-2,2.575000000E1
8.638630200E-2,2.575000000E1
8.901130200E-2,2.575000000E1
9.163530200E-2,2.575000000E1
9.426030200E-2,2.575000000E1
9.688430200E-2,2.575000000E1
9.950930200E-2,2.575000000E1
1.021333020E-1,2.575000000E1
1.047583020E-1,2.575000000E1
1.073823020E-1,2.575000000E1
1.100073020E-1,2.575000000E1
1.126313020E-1,2.575000000E1
1.152563020E-1,2.575000000E1
1.178803020E-1,2.575000000E1
1.205053020E-1,2.575000000E1
1.231303020E-1,2.575000000E1
1.257543020E-1,2.575000000E1
1.283793020E-1,2.575000000E1
1.310033020E-1,2.575000000E1
1.336283020E-1,2.575000000E1
1.362523020E-1,2.575000000E1
1.388773020E-1,2.575000000E1
1.415013020E-1,2.575000000E1
1.441263020E-1,2.575000000E1
1.467503020E-1,2.575000000E1
1.493753020E-1,2.575000000E1
1.519993020E-1,2.575000000E1
1.546243020E-1,2.575000000E1
1.572483020E-1,1.937500000E1
1.598733020E-1,1.937500000E1
1.624973020E-1,1.937500000E1
1.651223020E-1,1.937500000E1
1.677463020E-1,1.937500000E1
1.703713020E-1,1.937500000E1
1.729953020E-1,1.937500000E1
1.756203020E-1,1.937500000E1
1.782443020E-1,1.937500000E1
1.808693020E-1,1.937500000E1
1.861183020E-1,2.575000000E1
1.887423020E-1,2.575000000E1
1.913673020E-1,2.575000000E1
1.939913020E-1,2.575000000E1
1.966163020E-1,2.575000000E1
1.992403020E-1,2.575000000E1
2.018653020E-1,2.575000000E1
2.044893020E-1,2.575000000E1
2.071143020E-1,2.575000000E1
2.097383020E-1,2.575000000E1
2.123633020E-1,2.575000000E1
2.149873020E-1,2.575000000E1
2.176123020E-1,2.575000000E1
2.202363020E-1,2.575000000E1
2.228613020E-1,2.575000000E1
2.254853020E-1,2.575000000E1
2.281103020E-1,2.575000000E1
2.307343020E-1,2.575000000E1
2.333593020E-1,1.937500000E1
2.359843020E-1,1.937500000E1
2.386083020E-1,1.937500000E1
2.412333020E-1,1.937500000E1
2.438573020E-1,1.937500000E1
2.464823020E-1,1.937500000E1
2.491063020E-1,1.937500000E1
2.517313020E-1,1.937500000E1
2.543553020E-1,1.937500000E1
2.569803020E-1,1.937500000E1
2.622293020E-1,2.575000000E1
2.648533020E-1,2.575000000E1
2.674783020E-1,2.575000000E1
2.701023020E-1,2.575000000E1
2.727273020E-1,2.575000000E1
2.753513020E-1,2.575000000E1
2.779763020E-1,2.575000000E1
2.806003020E-1,2.575000000E1
2.832253020E-1,1.937500000E1
2.858493020E-1,1.937500000E1
2.884743020E-1,1.937500000E1
2.910983020E-1,1.937500000E1
2.937233020E-1,1.937500000E1
2.963473020E-1,1.937500000E1
2.989723020E-1,1.937500000E1
3.015963020E-1,1.937500000E1
3.042213020E-1,1.937500000E1
3.068453020E-1,1.937500000E1
3.120943020E-1,2.575000000E1
3.147193020E-1,2.575000000E1
3.173433020E-1,2.575000000E1
3.199683020E-1,2.575000000E1
3.225923020E-1,2.575000000E1
3.252173020E-1,2.575000000E1
3.278413020E-1,2.575000000E1
3.304663020E-1,2.575000000E1
3.330903020E-1,2.575000000E1
3.357153020E-1,2.575000000E1
3.383393020E-1,2.575000000E1
3.409643020E-1,2.575000000E1
3.435883020E-1,2.575000000E1
3.462133020E-1,2.575000000E1
3.488383020E-1,2.575000000E1
3.514623020E-1,2.575000000E1
3.540873020E-1,2.575000000E1
3.567113020E-1,2.575000000E1
3.593363020E-1,2.575000000E1
3.619603020E-1,2.575000000E1
3.645853020E-1,2.575000000E1
3.672093020E-1,2.575000000E1
3.698343020E-1,2.575000000E1
3.724583020E-1,2.575000000E1
3.750833020E-1,2.575000000E1
3.777073020E-1,2.575000000E1
3.803323020E-1,2.575000000E1
3.829563020E-1,2.575000000E1
3.855813020E-1,2.575000000E1
3.882053020E-1,1.937500000E1
3.908303020E-1,1.937500000E1
3.934543020E-1,1.937500000E1
3.960793020E-1,1.937500000E1
3.987033020E-1,1.937500000E1
4.013283020E-1,1.937500000E1
4.039523020E-1,1.937500000E1
4.065773020E-1,1.937500000E1
4.092013020E-1,1.937500000E1
4.144503020E-1,2.575000000E1
4.170753020E-1,2.575000000E1
4.196993020E-1,2.575000000E1
4.223243020E-1,2.575000000E1
4.249483020E-1,2.575000000E1
4.275733020E-1,2.575000000E1
4.301973020E-1,2.575000000E1
4.328223020E-1,2.575000000E1
4.354463020E-1,2.575000000E1
4.380713020E-1,1.937500000E1
4.406953020E-1,1.937500000E1
4.433203020E-1,1.937500000E1
4.459443020E-1,1.937500000E1
4.485693020E-1,1.937500000E1
4.511933020E-1,1.937500000E1
4.538183020E-1,1.937500000E1
4.564423020E-1,1.937500000E1
4.590673020E-1,1.937500000E1
4.643163020E-1,2.575000000E1
4.669413020E-1,2.575000000E1
4.695653020E-1,2.575000000E1
4.721903020E-1,2.575000000E1
4.748143020E-1,2.575000000E1
4.774393020E-1,2.575000000E1
4.800633020E-1,2.575000000E1
4.826883020E-1,2.575000000E1
4.853123020E-1,2.575000000E1
4.879373020E-1,2.575000000E1
4.905613020E-1,2.575000000E1
4.931863020E-1,2.575000000E1
4.958103020E-1,2.575000000E1
4.984353020E-1,2.575000000E1
5.010593020E-1,2.575000000E1
5.036843020E-1,2.575000000E1
5.063083020E-1,2.575000000E1
5.089333020E-1,2.575000000E1
5.115573020E-1,2.575000000E1
5.141823020E-1,2.575000000E1
5.168063020E-1,2.575000000E1
5.194313020E-1,2.575000000E1
5.220553020E-1,2.575000000E1
5.246803020E-1,2.575000000E1
5.273043020E-1,2.575000000E1
5.299293020E-1,2.575000000E1
5.325533020E-1,2.575000000E1
5.351783020E-1,2.575000000E1
5.378023020E-1,2.575000000E1
5.404273020E-1,2.575000000E1
5.430513020E-1,2.575000000E1
5.456763020E-1,2.575000000E1
5.483003020E-1,2.575000000E1
5.509253020E-1,2.575000000E1
5.535493020E-1,2.575000000E1
5.561743020E-1,2.575000000E1
5.587983020E-1,2.575000000E1
5.614233020E-1,2.575000000E1
5.640473020E-1,1.937500000E1
5.666723020E-1,1.937500000E1
5.692973020E-1,1.937500000E1
5.719213020E-1,1.937500000E1
5.745463020E-1,1.937500000E1
5.771703020E-1,1.937500000E1
5.797953020E-1,1.937500000E1
5.824193020E-1,1.937500000E1
5.850443020E-1,1.937500000E1
5.876683020E-1,1.937500000E1
5.929173020E-1,2.575000000E1
5.955423020E-1,2.575000000E1
5.981663020E-1,2.575000000E1
6.007913020E-1,2.575000000E1
6.034153020E-1,2.575000000E1
6.060403020E-1,2.575000000E1
6.086643020E-1,2.575000000E1
6.112893020E-1,2.575000000E1
6.139133020E-1,2.575000000E1
6.165383020E-1,1.937500000E1
6.191623020E-1,1.937500000E1
6.217873020E-1,1.937500000E1
6.244113020E-1,1.937500000E1
6.270363020E-1,1.937500000E1
6.296603020E-1,1.937500000E1
6.322853020E-1,1.937500000E1
6.349093020E-1,1.937500000E1
6.375343020E-1,1.937500000E1
6.427833020E-1,2.575000000E1
6.454073020E-1,2.575000000E1
6.480323020E-1,2.575000000E1
6.506563020E-1,2.575000000E1
6.532813020E-1,2.575000000E1
6.559053020E-1,2.575000000E1
6.585303020E-1,2.575000000E1
6.611543020E-1,2.575000000E1
6.637793020E-1,2.575000000E1
6.664033020E-1,2.575000000E1
6.690283020E-1,2.575000000E1
6.716523020E-1,2.575000000E1
6.742773020E-1,2.575000000E1
6.769013020E-1,2.575000000E1
6.795263020E-1,2.575000000E1
6.821513020E-1,2.575000000E1
6.847753020E-1,2.575000000E1
6.874003020E-1,2.575000000E1
6.900243020E-1,2.575000000E1
6.926493020E-1,2.575000000E1
6.952733020E-1,2.575000000E1
6.978983020E-1,2.575000000E1
7.005223020E-1,2.575000000E1
7.031473020E-1,2.575000000E1
7.057713020E-1,2.575000000E1
7.083963020E-1,2.575000000E1
7.110203020E-1,2.575000000E1
7.136453020E-1,2.575000000E1
7.162693020E-1,2.575000000E1
7.188943020E-1,1.937500000E1
7.215183020E-1,1.937500000E1
7.241433020E-1,1.937500000E1
7.267673020E-1,1.937500000E1
7.293923020E-1,1.937500000E1
7.320163020E-1,1.937500000E1
7.346413020E-1,1.937500000E1
7.372653020E-1,1.937500000E1
7.398903020E-1,1.937500000E1
7.451393020E-1,2.575000000E1
7.477633020E-1,2.575000000E1
7.503883020E-1,2.575000000E1
7.530123020E-1,2.575000000E1
7.556373020E-1,2.575000000E1
7.582613020E-1,2.575000000E1
7.608863020E-1,2.575000000E1
7.635103020E-1,2.575000000E1
7.661353020E-1,2.575000000E1
7.687593020E-1,2.575000000E1
7.713843020E-1,2.575000000E1
7.740083020E-1,2.575000000E1
7.766333020E-1,2.575000000E1
7.792573020E-1,2.575000000E1
7.818823020E-1,2.575000000E1
7.845063020E-1,2.575000000E1
7.871313020E-1,2.575000000E1
7.897553020E-1,2.575000000E1
7.923803020E-1,2.575000000E1
7.950053020E-1,2.575000000E1
7.976293020E-1,2.575000000E1
8.002543020E-1,2.575000000E1
8.028783020E-1,2.575000000E1
8.055033020E-1,2.575000000E1
8.081273020E-1,2.575000000E1
8.107523020E-1,2.575000000E1
8.133763020E-1,2.575000000E1
8.160013020E-1,2.575000000E1
8.186253020E-1,1.937500000E1
8.212503020E-1,1.937500000E1
8.238743020E-1,1.937500000E1
8.264993020E-1,1.937500000E1
8.291233020E-1,1.937500000E1
8.317483020E-1,1.937500000E1
8.343723020E-1,1.937500000E1
8.369973020E-1,1.937500000E1
8.396213020E-1,1.937500000E1
8.422463020E-1,1.937500000E1
8.474953020E-1,2.575000000E1
8.501193020E-1,2.575000000E1
8.527443020E-1,2.575000000E1
8.553683020E-1,2.575000000E1
8.579933020E-1,2.575000000E1
8.606173020E-1,2.575000000E1
8.632423020E-1,2.575000000E1
8.658663020E-1,2.575000000E1
8.684913020E-1,2.575000000E1
8.711153020E-1,1.937500000E1
8.737403020E-1,1.937500000E1
8.763643020E-1,1.937500000E1
8.789893020E-1,1.937500000E1
8.816133020E-1,1.937500000E1
8.842383020E-1,1.937500000E1
8.868623020E-1,1.937500000E1
8.894873020E-1,1.937500000E1
8.921113020E-1,1.937500000E1
8.973603020E-1,2.575000000E1
8.999853020E-1,2.575000000E1
9.026093020E-1,2.575000000E1
9.052343020E-1,2.575000000E1
9.078593020E-1,2.575000000E1
9.104833020E-1,2.575000000E1
9.131083020E-1,2.575000000E1
9.157323020E-1,2.575000000E1
9.183573020E-1,2.575000000E1
9.209813020E-1,2.575000000E1
9.236063020E-1,2.575000000E1
9.262303020E-1,2.575000000E1
9.288553020E-1,2.575000000E1
9.314793020E-1,2.575000000E1
9.341043020E-1,2.575000000E1
9.367283020E-1,2.575000000E1
9.393533020E-1,2.575000000E1
9.419773020E-1,2.575000000E1
9.446023020E-1,2.575000000E1
9.472263020E-1,1.937500000E1
9.498513020E-1,1.937500000E1
9.524753020E-1,1.937500000E1
9.551003020E-1,1.937500000E1
9.577243020E-1,1.937500000E1
9.603493020E-1,1.937500000E1
9.629733020E-1,1.937500000E1
9.655983020E-1,1.937500000E1
9.682223020E-1,1.937500000E1
9.708473020E-1,1.937500000E1
9.734713020E-1,1.937500000E1
9.760963020E-1,1.937500000E1
9.787203020E-1,1.937500000E1
9.813453020E-1,1.937500000E1
9.839693020E-1,1.937500000E1
9.865943020E-1,1.937500000E1
9.892183020E-1,1.937500000E1
9.918433020E-1,1.937500000E1
9.944673020E-1,1.937500000E1
9.997163020E-1,2.575000000E1
1.002341302E0,2.575000000E1
1.004965302E0,2.575000000E1
1.007590302E0,2.575000000E1
1.010214302E0,2.575000000E1
1.012839302E0,2.575000000E1
1.015463302E0,2.575000000E1
1.018088302E0,2.575000000E1
1.020713302E0,2.575000000E1
1.023337302E0,2.575000000E1
1.025962302E0,2.575000000E1
1.028586302E0,2.575000000E1
1.031211302E0,2.575000000E1
1.033835302E0,2.575000000E1
1.036460302E0,2.575000000E1
1.039084302E0,2.575000000E1
1.041709302E0,2.575000000E1
1.044333302E0,2.575000000E1
1.046958302E0,2.575000000E1
1.049582302E0,1.937500000E1
1.052207302E0,1.937500000E1
1.054831302E0,1.937500000E1
1.057456302E0,1.937500000E1
1.060080302E0,1.937500000E1
1.062705302E0,1.937500000E1
1.065329302E0,1.937500000E1
1.067954302E0,1.937500000E1
