"Time (s)","Illuminance (lx)"
0.000000000E0,2.575000000E1
1.249550500E-2,2.575000000E1
1.515050500E-2,2.575000000E1
1.777450500E-2,2.575000000E1
2.039950500E-2,1.937500000E1
2.302350500E-2,1.937500000E1
2.564850500E-2,1.937500000E1
2.827250500E-2,1.937500000E1
3.089750500E-2,1.937500000E1
3.352150500E-2,1.937500000E1
3.614650500E-2,1.937500000E1
3.877050500E-2,1.937500000E1
4.139550500E-2,1.937500000E1
4.401950500E-2,1.937500000E1
4.926850500E-2,2.575000000E1
5.189350500E-2,2.575000000E1
5.451750500E-2,2.575000000E1
5.714250500E-2,2.575000000E1
5.976650500E-2,2.575000000E1
6.239150500E-2,2.575000000E1
6.501550500E-2,2.575000000E1
6.764050500E-2,2.575000000E1
7.026450500E-2,2.575000000E1
7.288950500E-2,2.575000000E1
7.551350500E-2,2.575000000E1
7.813850500E-2,2.575000000E1
8.076250500E-2,2.575000000E1
8.338750500E-2,2.575000000E1
8.601150500E-2,2.575000000E1
8.863650500E-2,2.575000000E1
9.126050500E-2,2.575000000E1
9.388550500E-2,2.575000000E1
9.650950500E-2,2.575000000E1
9.913450500E-2,2.575000000E1
1.017595050E-1,2.575000000E1
1.043835050E-1,2.575000000E1
1.070085050E-1,2.575000000E1
1.096325050E-1,2.575000000E1
1.122575050E-1,2.575000000E1
1.148815050E-1,2.575000000E1
1.175065050E-1,2.575000000E1
1.201305050E-1,2.575000000E1
1.227555050E-1,2.575000000E1
1.253795050E-1,2.575000000E1
1.280045050E-1,2.575000000E1
1.306285050E-1,2.575000000E1
1.332535050E-1,2.575000000E1
1.358775050E-1,2.575000000E1
1.385025050E-1,2.575000000E1
1.411265050E-1,2.575000000E1
1.437515050E-1,2.575000000E1
1.463755050E-1,2.575000000E1
1.490005050E-1,1.937500000E1
1.516245050E-1,1.937500000E1
1.542495050E-1,1.937500000E1
1.568735050E-1,1.937500000E1
1.594985050E-1,1.937500000E1
1.621225050E-1,1.937500000E1
1.647475050E-1,1.937500000E1
1.673715050E-1,1.937500000E1
1.699965050E-1,1.937500000E1
1.752455050E-1,2.575000000E1
1.778695050E-1,2.575000000E1
1.804945050E-1,2.575000000E1
1.831185050E-1,2.575000000E1
1.857435050E-1,2.575000000E1
1.883675050E-1,2.575000000E1
1.909925050E-1,2.575000000E1
1.936165050E-1,2.575000000E1
1.962415050E-1,2.575000000E1
1.988655050E-1,2.575000000E1
2.014905050E-1,2.575000000E1
2.041145050E-1,2.575000000E1
2.067395050E-1,2.575000000E1
2.093635050E-1,2.575000000E1
2.119885050E-1,2.575000000E1
2.146135050E-1,2.575000000E1
2.172375050E-1,2.575000000E1
2.198625050E-1,2.575000000E1
2.224865050E-1,2.575000000E1
2.251115050E-1,2.575000000E1
2.277355050E-1,2.575000000E1
2.303605050E-1,2.575000000E1
2.329845050E-1,2.575000000E1
2.356095050E-1,2.575000000E1
2.382335050E-1,2.575000000E1
2.408585050E-1,2.575000000E1
2.434825050E-1,2.575000000E1
2.461075050E-1,2.575000000E1
2.487315050E-1,2.575000000E1
2.513565050E-1,2.575000000E1
2.539805050E-1,2.575000000E1
2.566055050E-1,2.575000000E1
2.592295050E-1,2.575000000E1
2.618545050E-1,2.575000000E1
2.644785050E-1,2.575000000E1
2.671035050E-1,2.575000000E1
2.697275050E-1,2.575000000E1
2.723525050E-1,2.575000000E1
2.749765050E-1,2.575000000E1
2.776015050E-1,2.575000000E1
2.802255050E-1,2.575000000E1
2.828505050E-1,2.575000000E1
2.854745050E-1,2.575000000E1
2.880995050E-1,2.575000000E1
2.907235050E-1,2.575000000E1
2.933485050E-1,2.575000000E1
2.959725050E-1,2.575000000E1
2.985975050E-1,2.575000000E1
3.012215050E-1,2.575000000E1
3.038465050E-1,2.575000000E1
3.064705050E-1,2.575000000E1
3.090955050E-1,2.575000000E1
3.117195050E-1,2.575000000E1
3.143445050E-1,2.575000000E1
3.169685050E-1,2.575000000E1
3.195935050E-1,2.575000000E1
3.222175050E-1,2.575000000E1
3.248425050E-1,2.575000000E1
3.274675050E-1,2.575000000E1
3.300915050E-1,2.575000000E1
3.327165050E-1,2.575000000E1
3.353405050E-1,2.575000000E1
3.379655050E-1,2.575000000E1
3.405895050E-1,2.575000000E1
3.432145050E-1,2.575000000E1
3.458385050E-1,2.575000000E1
3.484635050E-1,2.575000000E1
3.510875050E-1,2.575000000E1
3.537125050E-1,2.575000000E1
3.563365050E-1,2.575000000E1
3.589615050E-1,2.575000000E1
3.615855050E-1,2.575000000E1
3.642105050E-1,2.575000000E1
3.668345050E-1,2.575000000E1
3.694595050E-1,2.575000000E1
3.720835050E-1,2.575000000E1
3.747085050E-1,2.575000000E1
3.773325050E-1,1.937500000E1
3.799575050E-1,1.937500000E1
3.825815050E-1,1.937500000E1
3.852065050E-1,1.937500000E1
3.878305050E-1,1.937500000E1
3.904555050E-1,1.937500000E1
3.930795050E-1,1.937500000E1
3.957045050E-1,1.937500000E1
3.983285050E-1,1.937500000E1
4.009535050E-1,1.937500000E1
4.035775050E-1,1.937500000E1
4.062025050E-1,1.937500000E1
4.088265050E-1,1.937500000E1
4.114515050E-1,1.937500000E1
4.140755050E-1,1.937500000E1
4.167005050E-1,1.937500000E1
4.193245050E-1,1.937500000E1
4.219495050E-1,1.937500000E1
4.245735050E-1,1.937500000E1
4.271985050E-1,1.937500000E1
