"Time (s)","Illuminance (lx)"
0.000000000E0,2.575000000E1
8.164344000E-3,2.575000000E1
1.829534400E-2,2.575000000E1
2.095034400E-2,2.575000000E1
2.357534400E-2,2.575000000E1
2.620034400E-2,2.575000000E1
2.882434400E-2,2.575000000E1
3.144934400E-2,2.575000000E1
3.407334400E-2,2.575000000E1
3.669834400E-2,2.575000000E1
3.932234400E-2,2.575000000E1
4.194734400E-2,2.575000000E1
4.457134400E-2,2.575000000E1
4.719634400E-2,2.575000000E1
4.982034400E-2,2.575000000E1
5.244534400E-2,2.575000000E1
5.506934400E-2,2.575000000E1
5.769434400E-2,2.575000000E1
6.031834400E-2,2.575000000E1
6.294334400E-2,2.575000000E1
6.556734400E-2,2.575000000E1
6.819234400E-2,2.575000000E1
7.081634400E-2,2.575000000E1
7.344134400E-2,2.575000000E1
7.606534400E-2,2.575000000E1
7.869034400E-2,2.575000000E1
8.131434400E-2,2.575000000E1
8.393934400E-2,2.575000000E1
8.656334400E-2,2.575000000E1
8.918834400E-2,2.575000000E1
9.181234400E-2,2.575000000E1
9.443734400E-2,2.575000000E1
9.706134400E-2,2.575000000E1
9.968634400E-2,2.575000000E1
1.023103440E-1,2.575000000E1
1.049353440E-1,2.575000000E1
1.075593440E-1,2.575000000E1
1.101843440E-1,2.575000000E1
1.128083440E-1,2.575000000E1
1.154333440E-1,2.575000000E1
1.180573440E-1,2.575000000E1
1.206823440E-1,2.575000000E1
1.233063440E-1,2.575000000E1
1.259313440E-1,2.575000000E1
1.285553440E-1,2.575000000E1
1.311803440E-1,2.575000000E1
1.338043440E-1,2.575000000E1
1.364293440E-1,2.575000000E1
1.390543440E-1,2.575000000E1
1.416783440E-1,2.575000000E1
1.443033440E-1,2.575000000E1
1.469273440E-1,2.575000000E1
1.495523440E-1,2.575000000E1
1.521763440E-1,2.575000000E1
1.548013440E-1,2.575000000E1
1.574253440E-1,2.575000000E1
1.600503440E-1,2.575000000E1
1.626743440E-1,2.575000000E1
1.652993440E-1,2.575000000E1
1.679233440E-1,2.575000000E1
1.705483440E-1,2.575000000E1
1.731723440E-1,2.575000000E1
1.757973440E-1,2.575000000E1
1.784213440E-1,2.575000000E1
1.810463440E-1,2.575000000E1
1.836703440E-1,2.575000000E1
1.862953440E-1,2.575000000E1
1.889193440E-1,2.575000000E1
1.915443440E-1,2.575000000E1
1.941683440E-1,2.575000000E1
1.967933440E-1,2.575000000E1
1.994173440E-1,2.575000000E1
2.020423440E-1,2.575000000E1
2.046663440E-1,2.575000000E1
2.072913440E-1,2.575000000E1
2.099153440E-1,2.575000000E1
2.125403440E-1,2.575000000E1
2.151643440E-1,2.575000000E1
2.177893440E-1,2.575000000E1
2.204133440E-1,2.575000000E1
2.230383440E-1,2.575000000E1
2.256623440E-1,2.575000000E1
2.282873440E-1,2.575000000E1
2.309113440E-1,2.575000000E1
2.335363440E-1,2.575000000E1
2.361603440E-1,2.575000000E1
2.387853440E-1,2.575000000E1
2.414093440E-1,2.575000000E1
2.440343440E-1,2.575000000E1
2.466583440E-1,2.575000000E1
2.492833440E-1,2.575000000E1
2.519083440E-1,2.575000000E1
2.545323440E-1,2.575000000E1
2.571573440E-1,2.575000000E1
2.597813440E-1,2.575000000E1
2.624063440E-1,2.575000000E1
2.650303440E-1,2.575000000E1
2.676553440E-1,2.575000000E1
2.702793440E-1,2.575000000E1
2.729043440E-1,2.575000000E1
2.755283440E-1,2.575000000E1
2.781533440E-1,2.575000000E1
2.807773440E-1,2.575000000E1
2.834023440E-1,2.575000000E1
2.860263440E-1,2.575000000E1
2.886513440E-1,2.575000000E1
2.912753440E-1,2.575000000E1
2.939003440E-1,2.575000000E1
2.965243440E-1,2.575000000E1
2.991493440E-1,2.575000000E1
3.017733440E-1,2.575000000E1
3.043983440E-1,2.575000000E1
3.070223440E-1,2.575000000E1
3.096473440E-1,2.575000000E1
3.122713440E-1,2.575000000E1
3.148963440E-1,2.575000000E1
3.175203440E-1,2.575000000E1
3.201453440E-1,2.575000000E1
3.227693440E-1,2.575000000E1
3.253943440E-1,2.575000000E1
3.280183440E-1,2.575000000E1
3.306433440E-1,2.575000000E1
3.332673440E-1,2.575000000E1
3.358923440E-1,2.575000000E1
3.385163440E-1,2.575000000E1
3.411413440E-1,2.575000000E1
3.437653440E-1,2.575000000E1
3.463903440E-1,2.575000000E1
3.490143440E-1,2.575000000E1
3.516393440E-1,2.575000000E1
3.542633440E-1,2.575000000E1
3.568883440E-1,2.575000000E1
3.595133440E-1,2.575000000E1
3.621373440E-1,2.575000000E1
3.647623440E-1,2.575000000E1
3.673863440E-1,2.575000000E1
3.700113440E-1,2.575000000E1
3.726353440E-1,2.575000000E1
3.752603440E-1,2.575000000E1
3.778843440E-1,2.575000000E1
3.805093440E-1,2.575000000E1
3.831333440E-1,2.575000000E1
3.857583440E-1,2.575000000E1
3.883823440E-1,2.575000000E1
3.910073440E-1,2.575000000E1
3.936313440E-1,2.575000000E1
3.962563440E-1,2.575000000E1
3.988803440E-1,2.575000000E1
4.015053440E-1,2.575000000E1
4.041293440E-1,2.575000000E1
4.067543440E-1,2.575000000E1
4.093783440E-1,2.575000000E1
4.120033440E-1,2.575000000E1
4.146273440E-1,2.575000000E1
4.172523440E-1,2.575000000E1
4.198763440E-1,2.575000000E1
4.225013440E-1,2.575000000E1
4.251253440E-1,2.575000000E1
4.277503440E-1,2.575000000E1
4.303743440E-1,2.575000000E1
4.329993440E-1,2.575000000E1
4.356233440E-1,2.575000000E1
4.382483440E-1,2.575000000E1
4.408723440E-1,2.575000000E1
4.434973440E-1,2.575000000E1
4.461213440E-1,2.575000000E1
4.487463440E-1,2.575000000E1
4.513703440E-1,2.575000000E1
4.539953440E-1,2.575000000E1
4.566193440E-1,2.575000000E1
4.592443440E-1,2.575000000E1
4.618683440E-1,2.575000000E1
4.644933440E-1,2.575000000E1
4.671173440E-1,2.575000000E1
4.697423440E-1,2.575000000E1
4.723673440E-1,2.575000000E1
4.749913440E-1,2.575000000E1
4.776163440E-1,2.575000000E1
4.802403440E-1,2.575000000E1
4.828653440E-1,2.575000000E1
4.854893440E-1,2.575000000E1
4.881143440E-1,2.575000000E1
4.907383440E-1,2.575000000E1
4.933633440E-1,2.575000000E1
4.959873440E-1,2.575000000E1
4.986123440E-1,2.575000000E1
5.012363440E-1,2.575000000E1
5.038613440E-1,2.575000000E1
5.064853440E-1,2.575000000E1
5.091103440E-1,2.575000000E1
5.117343440E-1,2.575000000E1
5.143593440E-1,2.575000000E1
5.169833440E-1,2.575000000E1
5.196083440E-1,2.575000000E1
5.222323440E-1,2.575000000E1
5.248573440E-1,2.575000000E1
5.274813440E-1,2.575000000E1
5.301063440E-1,2.575000000E1
5.327303440E-1,2.575000000E1
5.353553440E-1,2.575000000E1
5.379793440E-1,2.575000000E1
5.406043440E-1,2.575000000E1
5.432283440E-1,2.575000000E1
5.458533440E-1,2.575000000E1
5.484773440E-1,2.575000000E1
5.511023440E-1,2.575000000E1
5.537263440E-1,2.575000000E1
5.563513440E-1,2.575000000E1
5.589753440E-1,2.575000000E1
5.616003440E-1,2.575000000E1
5.642243440E-1,2.575000000E1
5.668493440E-1,2.575000000E1
5.694733440E-1,2.575000000E1
5.720983440E-1,2.575000000E1
5.747223440E-1,2.575000000E1
5.773473440E-1,2.575000000E1
5.799713440E-1,2.575000000E1
5.825963440E-1,2.575000000E1
5.852213440E-1,2.575000000E1
5.878453440E-1,2.575000000E1
5.904703440E-1,2.575000000E1
5.930943440E-1,2.575000000E1
5.957193440E-1,2.575000000E1
5.983433440E-1,2.575000000E1
6.009683440E-1,2.575000000E1
6.035923440E-1,2.575000000E1
6.062173440E-1,2.575000000E1
6.088413440E-1,2.575000000E1
6.114663440E-1,2.575000000E1
6.140903440E-1,2.575000000E1
6.167153440E-1,2.575000000E1
6.193393440E-1,2.575000000E1
6.219643440E-1,2.575000000E1
6.245883440E-1,2.575000000E1
6.272133440E-1,2.575000000E1
6.298373440E-1,2.575000000E1
6.324623440E-1,2.575000000E1
6.350863440E-1,2.575000000E1
6.377113440E-1,2.575000000E1
6.403353440E-1,2.575000000E1
6.429603440E-1,2.575000000E1
6.455843440E-1,2.575000000E1
6.482093440E-1,2.575000000E1
6.508333440E-1,2.575000000E1
6.534583440E-1,2.575000000E1
6.560823440E-1,2.575000000E1
6.587073440E-1,2.575000000E1
6.613313440E-1,2.575000000E1
6.639563440E-1,2.575000000E1
6.665803440E-1,2.575000000E1
6.692053440E-1,2.575000000E1
6.718293440E-1,2.575000000E1
6.744543440E-1,2.575000000E1
6.770783440E-1,2.575000000E1
6.797033440E-1,2.575000000E1
6.823273440E-1,2.575000000E1
6.849523440E-1,2.575000000E1
6.875763440E-1,2.575000000E1
6.902013440E-1,2.575000000E1
6.928253440E-1,2.575000000E1
6.954503440E-1,2.575000000E1
6.980753440E-1,2.575000000E1
7.006993440E-1,2.575000000E1
7.033243440E-1,2.575000000E1
7.059483440E-1,2.575000000E1
7.085733440E-1,2.575000000E1
7.111973440E-1,2.575000000E1
7.138223440E-1,2.575000000E1
7.164463440E-1,2.575000000E1
7.190713440E-1,2.575000000E1
7.216953440E-1,2.575000000E1
7.243203440E-1,2.575000000E1
