"Time (s)","Illuminance (lx)"
0.000000000E0,2.575000000E1
4.134032000E-3,2.575000000E1
6.789032000E-3,2.575000000E1
9.414032000E-3,2.575000000E1
1.203803200E-2,2.575000000E1
1.466303200E-2,2.575000000E1
1.728703200E-2,2.575000000E1
1.991203200E-2,2.575000000E1
2.253603200E-2,2.575000000E1
2.516103200E-2,2.575000000E1
2.778603200E-2,2.575000000E1
3.041003200E-2,2.575000000E1
3.303503200E-2,2.575000000E1
3.565903200E-2,2.575000000E1
3.828403200E-2,2.575000000E1
4.090803200E-2,2.575000000E1
4.353303200E-2,2.575000000E1
4.615703200E-2,2.575000000E1
4.878203200E-2,2.575000000E1
5.140603200E-2,2.575000000E1
5.403103200E-2,2.575000000E1
5.665503200E-2,2.575000000E1
5.928003200E-2,2.575000000E1
6.190403200E-2,2.575000000E1
6.452903200E-2,2.575000000E1
6.715303200E-2,2.575000000E1
6.977803200E-2,2.575000000E1
7.240203200E-2,2.575000000E1
7.502703200E-2,2.575000000E1
7.765103200E-2,2.575000000E1
8.027603200E-2,2.575000000E1
8.290003200E-2,2.575000000E1
8.552503200E-2,2.575000000E1
8.814903200E-2,2.575000000E1
9.077403200E-2,2.575000000E1
9.339803200E-2,2.575000000E1
9.602303200E-2,2.575000000E1
9.864703200E-2,2.575000000E1
1.012720320E-1,2.575000000E1
1.038960320E-1,2.575000000E1
1.065210320E-1,2.575000000E1
1.091450320E-1,2.575000000E1
1.117700320E-1,2.575000000E1
1.143940320E-1,2.575000000E1
1.170190320E-1,2.575000000E1
1.196430320E-1,2.575000000E1
1.222680320E-1,2.575000000E1
1.248920320E-1,2.575000000E1
1.275170320E-1,2.575000000E1
1.301410320E-1,2.575000000E1
1.327660320E-1,2.575000000E1
1.353910320E-1,2.575000000E1
1.380150320E-1,2.575000000E1
1.406400320E-1,2.575000000E1
1.432640320E-1,2.575000000E1
1.458890320E-1,2.575000000E1
1.485130320E-1,2.575000000E1
1.511380320E-1,2.575000000E1
1.537620320E-1,2.575000000E1
1.563870320E-1,2.575000000E1
1.590110320E-1,2.575000000E1
1.616360320E-1,2.575000000E1
1.642600320E-1,2.575000000E1
1.668850320E-1,2.575000000E1
1.695090320E-1,2.575000000E1
1.721340320E-1,2.575000000E1
1.747580320E-1,2.575000000E1
1.773830320E-1,2.575000000E1
