"Time (s)","Illuminance (lx)"
0.000000000E0,3.028750000E2
5.869170000E-3,3.028750000E2
1.600117000E-2,3.028750000E2
2.613317000E-2,3.028750000E2
2.878817000E-2,3.028750000E2
3.141217000E-2,3.028750000E2
3.403717000E-2,3.028750000E2
3.666117000E-2,3.028750000E2
3.928617000E-2,3.028750000E2
4.191017000E-2,3.028750000E2
4.453517000E-2,3.028750000E2
4.715917000E-2,3.028750000E2
4.978417000E-2,3.028750000E2
5.240817000E-2,3.028750000E2
5.503317000E-2,3.028750000E2
5.765817000E-2,3.028750000E2
6.028217000E-2,3.028750000E2
6.290717000E-2,3.028750000E2
6.553117000E-2,3.028750000E2
6.815617000E-2,3.028750000E2
7.078017000E-2,3.028750000E2
7.340517000E-2,3.028750000E2
7.602917000E-2,3.028750000E2
7.865417000E-2,3.028750000E2
8.127817000E-2,3.028750000E2
8.390317000E-2,3.028750000E2
8.652717000E-2,3.028750000E2
8.915217000E-2,3.028750000E2
9.177617000E-2,3.028750000E2
9.440117000E-2,3.028750000E2
9.702517000E-2,3.028750000E2
9.965017000E-2,3.028750000E2
1.022741700E-1,3.028750000E2
1.048991700E-1,3.028750000E2
1.075231700E-1,3.028750000E2
1.101481700E-1,3.028750000E2
1.127721700E-1,3.028750000E2
1.153971700E-1,3.028750000E2
1.180211700E-1,3.028750000E2
1.206461700E-1,3.028750000E2
1.232701700E-1,3.028750000E2
1.258951700E-1,3.028750000E2
1.285191700E-1,3.028750000E2
1.311441700E-1,3.028750000E2
1.337681700E-1,3.028750000E2
1.363931700E-1,3.028750000E2
1.390171700E-1,3.028750000E2
1.416421700E-1,3.028750000E2
1.442661700E-1,3.028750000E2
1.468911700E-1,3.028750000E2
1.495151700E-1,3.028750000E2
1.521401700E-1,3.028750000E2
1.547641700E-1,3.028750000E2
1.573891700E-1,3.028750000E2
1.600131700E-1,3.028750000E2
1.626381700E-1,3.028750000E2
1.652621700E-1,3.028750000E2
1.678871700E-1,3.028750000E2
1.705121700E-1,3.028750000E2
1.731361700E-1,3.028750000E2
1.757611700E-1,3.028750000E2
1.783851700E-1,3.028750000E2
1.810101700E-1,3.028750000E2
1.836341700E-1,3.028750000E2
1.862591700E-1,3.028750000E2
1.888831700E-1,3.028750000E2
1.915081700E-1,3.028750000E2
1.941321700E-1,3.028750000E2
1.967571700E-1,3.028750000E2
1.993811700E-1,3.028750000E2
2.020061700E-1,3.028750000E2
2.046301700E-1,3.028750000E2
2.072551700E-1,3.028750000E2
2.098791700E-1,3.028750000E2
2.125041700E-1,3.028750000E2
2.151281700E-1,3.028750000E2
2.177531700E-1,3.028750000E2
2.203771700E-1,3.028750000E2
2.230021700E-1,3.028750000E2
2.256261700E-1,3.028750000E2
2.282511700E-1,3.028750000E2
2.308751700E-1,3.028750000E2
2.335001700E-1,3.028750000E2
2.361241700E-1,3.028750000E2
2.387491700E-1,3.028750000E2
2.413731700E-1,3.028750000E2
2.439981700E-1,3.028750000E2
2.466221700E-1,3.028750000E2
2.492471700E-1,3.028750000E2
2.518711700E-1,3.028750000E2
2.544961700E-1,3.028750000E2
2.571201700E-1,3.028750000E2
2.597451700E-1,3.028750000E2
2.623691700E-1,3.028750000E2
2.649941700E-1,3.028750000E2
2.676181700E-1,3.028750000E2
2.702431700E-1,3.028750000E2
2.728671700E-1,3.028750000E2
2.754921700E-1,3.028750000E2
2.781171700E-1,3.028750000E2
2.807411700E-1,3.028750000E2
2.833661700E-1,3.028750000E2
2.859901700E-1,3.028750000E2
2.886151700E-1,3.028750000E2
2.912391700E-1,3.028750000E2
2.938641700E-1,3.028750000E2
2.964881700E-1,3.028750000E2
2.991131700E-1,3.028750000E2
3.017371700E-1,3.028750000E2
3.043621700E-1,3.028750000E2
3.069861700E-1,3.028750000E2
3.096111700E-1,3.028750000E2
3.122351700E-1,3.028750000E2
3.148601700E-1,3.028750000E2
3.174841700E-1,3.028750000E2
3.201091700E-1,3.028750000E2
3.227331700E-1,3.028750000E2
3.253581700E-1,3.028750000E2
3.279821700E-1,3.028750000E2
3.306071700E-1,3.028750000E2
3.332311700E-1,3.028750000E2
3.358561700E-1,3.028750000E2
3.384801700E-1,3.028750000E2
3.411051700E-1,3.028750000E2
3.437291700E-1,3.028750000E2
3.463541700E-1,3.028750000E2
3.489781700E-1,3.028750000E2
3.516031700E-1,3.028750000E2
3.542271700E-1,3.028750000E2
3.568521700E-1,3.028750000E2
3.594761700E-1,3.028750000E2
3.621011700E-1,3.028750000E2
3.647251700E-1,3.028750000E2
3.673501700E-1,3.028750000E2
3.699741700E-1,3.028750000E2
3.725991700E-1,3.028750000E2
3.752231700E-1,3.028750000E2
3.778481700E-1,3.028750000E2
3.804721700E-1,3.028750000E2
3.830971700E-1,3.028750000E2
3.857211700E-1,3.028750000E2
3.883461700E-1,3.028750000E2
3.909711700E-1,3.028750000E2
3.935951700E-1,3.028750000E2
3.962201700E-1,3.028750000E2
3.988441700E-1,3.028750000E2
4.014691700E-1,3.028750000E2
4.040931700E-1,3.028750000E2
4.067181700E-1,3.028750000E2
4.093421700E-1,3.028750000E2
4.119671700E-1,3.028750000E2
4.145911700E-1,3.028750000E2
4.172161700E-1,3.028750000E2
4.198401700E-1,3.028750000E2
4.224651700E-1,3.028750000E2
4.250891700E-1,3.028750000E2
4.277141700E-1,3.028750000E2
4.303381700E-1,3.028750000E2
4.329631700E-1,3.028750000E2
4.355871700E-1,3.028750000E2
4.382121700E-1,3.028750000E2
4.408361700E-1,3.028750000E2
4.434611700E-1,3.028750000E2
4.460851700E-1,3.028750000E2
4.487101700E-1,3.028750000E2
4.513341700E-1,3.028750000E2
4.539591700E-1,3.028750000E2
4.565831700E-1,3.028750000E2
4.592081700E-1,3.028750000E2
4.618321700E-1,3.028750000E2
4.644571700E-1,3.028750000E2
4.670811700E-1,3.028750000E2
4.697061700E-1,3.028750000E2
4.723301700E-1,3.028750000E2
4.749551700E-1,3.028750000E2
4.775791700E-1,3.028750000E2
4.802041700E-1,3.028750000E2
4.828281700E-1,3.028750000E2
4.854531700E-1,3.028750000E2
4.880771700E-1,3.028750000E2
4.907021700E-1,3.028750000E2
4.933261700E-1,3.028750000E2
4.959511700E-1,3.028750000E2
4.985751700E-1,3.028750000E2
5.012001700E-1,3.028750000E2
5.038251700E-1,3.028750000E2
5.064491700E-1,3.028750000E2
5.090741700E-1,3.028750000E2
5.116981700E-1,3.028750000E2
5.143231700E-1,3.028750000E2
5.169471700E-1,3.028750000E2
5.195721700E-1,3.028750000E2
5.221961700E-1,3.028750000E2
5.248211700E-1,3.028750000E2
5.274451700E-1,3.028750000E2
5.300701700E-1,3.028750000E2
5.326941700E-1,3.028750000E2
5.353191700E-1,3.028750000E2
5.379431700E-1,3.028750000E2
5.405681700E-1,3.028750000E2
5.431921700E-1,3.028750000E2
5.458171700E-1,3.028750000E2
5.484411700E-1,3.028750000E2
5.510661700E-1,3.028750000E2
5.536901700E-1,3.028750000E2
5.563151700E-1,3.028750000E2
5.589391700E-1,3.028750000E2
5.615641700E-1,3.028750000E2
5.641881700E-1,3.028750000E2
5.668131700E-1,3.028750000E2
5.694371700E-1,3.028750000E2
5.720621700E-1,3.028750000E2
5.746861700E-1,3.028750000E2
5.773111700E-1,3.028750000E2
5.799351700E-1,3.028750000E2
5.825601700E-1,3.028750000E2
5.851841700E-1,3.028750000E2
5.878091700E-1,3.028750000E2
5.904331700E-1,3.028750000E2
5.930581700E-1,3.028750000E2
5.956821700E-1,3.028750000E2
5.983071700E-1,3.028750000E2
6.009311700E-1,3.028750000E2
6.035561700E-1,3.028750000E2
6.061801700E-1,3.028750000E2
6.088051700E-1,3.028750000E2
6.114291700E-1,3.028750000E2
6.140541700E-1,3.028750000E2
6.166791700E-1,3.028750000E2
6.193031700E-1,3.028750000E2
6.219281700E-1,3.028750000E2
6.245521700E-1,3.028750000E2
6.271771700E-1,3.028750000E2
6.298011700E-1,3.028750000E2
6.324261700E-1,3.028750000E2
6.350501700E-1,3.028750000E2
6.376751700E-1,3.028750000E2
6.402991700E-1,3.028750000E2
6.429241700E-1,3.028750000E2
6.455481700E-1,3.028750000E2
6.481731700E-1,3.028750000E2
6.507971700E-1,3.028750000E2
6.534221700E-1,3.028750000E2
6.560461700E-1,3.028750000E2
6.586711700E-1,3.028750000E2
6.612951700E-1,3.028750000E2
6.639201700E-1,3.028750000E2
6.665441700E-1,3.028750000E2
6.691691700E-1,3.028750000E2
6.717931700E-1,3.028750000E2
6.744181700E-1,3.028750000E2
6.770421700E-1,3.028750000E2
6.796671700E-1,3.028750000E2
6.822911700E-1,3.028750000E2
6.849161700E-1,3.028750000E2
6.875401700E-1,3.028750000E2
6.901651700E-1,3.028750000E2
6.927891700E-1,3.028750000E2
6.954141700E-1,3.028750000E2
6.980381700E-1,3.028750000E2
7.006631700E-1,3.028750000E2
7.032871700E-1,3.028750000E2
7.059121700E-1,3.028750000E2
7.085361700E-1,3.028750000E2
7.111611700E-1,3.028750000E2
7.137851700E-1,3.028750000E2
7.164101700E-1,3.028750000E2
7.190341700E-1,3.028750000E2
7.216591700E-1,3.028750000E2
7.242831700E-1,3.028750000E2
7.269081700E-1,3.028750000E2
7.295331700E-1,3.028750000E2
7.321571700E-1,3.028750000E2
7.347821700E-1,3.028750000E2
7.374061700E-1,3.028750000E2
7.400311700E-1,3.028750000E2
7.426551700E-1,3.028750000E2
7.452801700E-1,3.028750000E2
7.479041700E-1,3.028750000E2
7.505291700E-1,3.028750000E2
7.531531700E-1,3.028750000E2
7.557781700E-1,3.028750000E2
7.584021700E-1,3.028750000E2
7.610271700E-1,3.028750000E2
7.636511700E-1,3.028750000E2
7.662761700E-1,3.028750000E2
7.689001700E-1,3.028750000E2
7.715251700E-1,3.028750000E2
7.741491700E-1,3.028750000E2
7.767741700E-1,3.028750000E2
7.793981700E-1,3.028750000E2
7.820231700E-1,3.028750000E2
7.846471700E-1,3.028750000E2
7.872721700E-1,3.028750000E2
7.898961700E-1,3.028750000E2
7.925211700E-1,3.028750000E2
7.951451700E-1,3.028750000E2
7.977701700E-1,3.028750000E2
8.003941700E-1,3.028750000E2
8.030191700E-1,3.028750000E2
8.056431700E-1,3.028750000E2
8.082681700E-1,3.028750000E2
8.108921700E-1,3.028750000E2
8.135171700E-1,3.028750000E2
8.161411700E-1,3.028750000E2
8.187661700E-1,3.028750000E2
8.213901700E-1,3.028750000E2
8.240151700E-1,3.028750000E2
8.266391700E-1,3.028750000E2
8.292641700E-1,3.028750000E2
8.318881700E-1,3.028750000E2
8.345131700E-1,3.028750000E2
8.371371700E-1,3.028750000E2
8.397621700E-1,3.028750000E2
8.423871700E-1,3.028750000E2
8.450111700E-1,3.028750000E2
8.476361700E-1,3.028750000E2
8.502601700E-1,3.028750000E2
8.528851700E-1,3.028750000E2
8.555091700E-1,3.028750000E2
8.581341700E-1,3.028750000E2
8.607581700E-1,3.028750000E2
8.633831700E-1,3.028750000E2
8.660071700E-1,3.028750000E2
8.686321700E-1,3.028750000E2
8.712561700E-1,3.028750000E2
8.738811700E-1,3.028750000E2
8.765051700E-1,3.028750000E2
8.791301700E-1,3.028750000E2
8.817541700E-1,3.028750000E2
8.843791700E-1,3.028750000E2
8.870031700E-1,3.028750000E2
8.896281700E-1,3.028750000E2
8.922521700E-1,3.028750000E2
8.948771700E-1,3.028750000E2
8.975011700E-1,3.028750000E2
9.001261700E-1,3.028750000E2
9.027501700E-1,3.028750000E2
9.053751700E-1,3.028750000E2
9.079991700E-1,3.028750000E2
9.106241700E-1,3.028750000E2
9.132481700E-1,3.028750000E2
9.158731700E-1,3.028750000E2
9.184971700E-1,3.028750000E2
9.211221700E-1,3.028750000E2
9.237461700E-1,3.028750000E2
9.263711700E-1,3.028750000E2
9.289951700E-1,3.028750000E2
9.316201700E-1,3.028750000E2
9.342441700E-1,3.028750000E2
9.368691700E-1,3.028750000E2
9.394931700E-1,3.028750000E2
9.421181700E-1,3.028750000E2
9.447421700E-1,3.028750000E2
9.473671700E-1,3.028750000E2
9.499921700E-1,3.028750000E2
9.526161700E-1,3.028750000E2
9.552411700E-1,3.028750000E2
9.578651700E-1,3.028750000E2
9.604901700E-1,3.028750000E2
9.631141700E-1,3.028750000E2
9.657391700E-1,3.028750000E2
9.683631700E-1,3.028750000E2
9.709881700E-1,3.028750000E2
9.736121700E-1,3.028750000E2
9.762371700E-1,3.028750000E2
9.788611700E-1,3.028750000E2
9.814861700E-1,3.028750000E2
9.841101700E-1,3.028750000E2
9.867351700E-1,3.028750000E2
9.893591700E-1,3.028750000E2
9.919841700E-1,3.028750000E2
9.946081700E-1,3.028750000E2
9.972331700E-1,3.028750000E2
9.998571700E-1,3.028750000E2
1.002482170E0,3.028750000E2
1.005106170E0,3.028750000E2
1.007731170E0,3.028750000E2
1.010355170E0,3.028750000E2
1.012980170E0,3.028750000E2
1.015604170E0,3.028750000E2
1.018229170E0,3.028750000E2
1.020853170E0,3.028750000E2
1.023478170E0,3.028750000E2
1.026102170E0,3.028750000E2
1.028727170E0,3.028750000E2
1.031351170E0,3.028750000E2
1.033976170E0,3.028750000E2
1.036600170E0,3.028750000E2
1.039225170E0,3.028750000E2
1.041849170E0,3.028750000E2
1.044474170E0,3.028750000E2
1.047098170E0,3.028750000E2
1.049723170E0,3.028750000E2
1.052347170E0,3.028750000E2
1.054972170E0,3.028750000E2
1.057596170E0,3.028750000E2
1.060221170E0,3.028750000E2
1.062846170E0,3.028750000E2
1.065470170E0,3.028750000E2
1.068095170E0,3.028750000E2
1.070719170E0,3.028750000E2
1.073344170E0,3.028750000E2
1.075968170E0,3.028750000E2
1.078593170E0,3.028750000E2
1.081217170E0,3.028750000E2
1.083842170E0,3.028750000E2
1.086466170E0,3.028750000E2
1.089091170E0,3.028750000E2
1.091715170E0,3.028750000E2
1.094340170E0,3.028750000E2
1.096964170E0,3.028750000E2
1.099589170E0,3.028750000E2
1.102213170E0,3.028750000E2
1.104838170E0,3.028750000E2
1.107462170E0,3.028750000E2
1.110087170E0,3.028750000E2
1.112711170E0,3.028750000E2
