"Time (s)","Illuminance (lx)"
0.000000000E0,1.288750000E2
1.308388000E-2,1.288750000E2
2.321588000E-2,1.352500000E2
3.334788000E-2,1.352500000E2
3.600288000E-2,1.352500000E2
3.862788000E-2,1.352500000E2
4.125188000E-2,1.288750000E2
4.387688000E-2,1.288750000E2
4.650088000E-2,1.288750000E2
4.912588000E-2,1.288750000E2
5.174988000E-2,1.288750000E2
5.437488000E-2,1.288750000E2
5.699888000E-2,1.288750000E2
5.962388000E-2,1.288750000E2
6.224788000E-2,1.288750000E2
6.487288000E-2,1.352500000E2
6.749688000E-2,1.352500000E2
7.012188000E-2,1.352500000E2
7.274588000E-2,1.352500000E2
7.537088000E-2,1.352500000E2
7.799488000E-2,1.352500000E2
8.061988000E-2,1.352500000E2
8.324388000E-2,1.352500000E2
8.586888000E-2,1.352500000E2
8.849288000E-2,1.352500000E2
9.111788000E-2,1.288750000E2
9.374188000E-2,1.288750000E2
9.636688000E-2,1.288750000E2
9.899088000E-2,1.288750000E2
1.016158800E-1,1.288750000E2
1.042398800E-1,1.288750000E2
1.068648800E-1,1.288750000E2
1.094888800E-1,1.288750000E2
1.121138800E-1,1.288750000E2
1.147378800E-1,1.288750000E2
1.173628800E-1,1.352500000E2
1.199868800E-1,1.352500000E2
1.226118800E-1,1.352500000E2
1.252358800E-1,1.352500000E2
1.278608800E-1,1.352500000E2
1.304858800E-1,1.352500000E2
1.331098800E-1,1.352500000E2
1.357348800E-1,1.352500000E2
1.383588800E-1,1.352500000E2
1.409838800E-1,1.352500000E2
1.436078800E-1,1.352500000E2
1.462328800E-1,1.352500000E2
1.488568800E-1,1.352500000E2
1.514818800E-1,1.352500000E2
1.541058800E-1,1.352500000E2
1.567308800E-1,1.352500000E2
1.593548800E-1,1.352500000E2
1.619798800E-1,1.352500000E2
1.646038800E-1,1.352500000E2
1.672288800E-1,1.352500000E2
1.698528800E-1,1.288750000E2
1.724778800E-1,1.288750000E2
1.751018800E-1,1.288750000E2
1.777268800E-1,1.288750000E2
1.803508800E-1,1.288750000E2
1.829758800E-1,1.288750000E2
1.855998800E-1,1.288750000E2
1.882248800E-1,1.288750000E2
1.908488800E-1,1.288750000E2
1.934738800E-1,1.288750000E2
1.960978800E-1,1.288750000E2
1.987228800E-1,1.288750000E2
2.013468800E-1,1.288750000E2
2.039718800E-1,1.288750000E2
2.065958800E-1,1.288750000E2
2.092208800E-1,1.288750000E2
2.118448800E-1,1.288750000E2
2.144698800E-1,1.288750000E2
2.170938800E-1,1.288750000E2
2.197188800E-1,1.352500000E2
2.223428800E-1,1.352500000E2
2.249678800E-1,1.352500000E2
2.275918800E-1,1.352500000E2
2.302168800E-1,1.352500000E2
2.328408800E-1,1.352500000E2
2.354658800E-1,1.352500000E2
2.380898800E-1,1.352500000E2
2.407148800E-1,1.352500000E2
2.433398800E-1,1.288750000E2
2.459638800E-1,1.288750000E2
2.485888800E-1,1.288750000E2
2.512128800E-1,1.288750000E2
2.538378800E-1,1.288750000E2
2.564618800E-1,1.288750000E2
2.590868800E-1,1.288750000E2
2.617108800E-1,1.288750000E2
2.643358800E-1,1.288750000E2
2.669598800E-1,1.288750000E2
2.695848800E-1,1.352500000E2
2.722088800E-1,1.352500000E2
2.748338800E-1,1.352500000E2
2.774578800E-1,1.352500000E2
2.800828800E-1,1.352500000E2
2.827068800E-1,1.352500000E2
2.853318800E-1,1.352500000E2
2.879558800E-1,1.352500000E2
2.905808800E-1,1.352500000E2
2.932048800E-1,1.352500000E2
2.958298800E-1,1.288750000E2
2.984538800E-1,1.288750000E2
3.010788800E-1,1.288750000E2
3.037028800E-1,1.288750000E2
3.063278800E-1,1.288750000E2
3.089518800E-1,1.288750000E2
3.115768800E-1,1.288750000E2
3.142008800E-1,1.288750000E2
3.168258800E-1,1.288750000E2
3.194498800E-1,1.288750000E2
3.220748800E-1,1.288750000E2
3.246988800E-1,1.288750000E2
3.273238800E-1,1.288750000E2
3.299478800E-1,1.288750000E2
3.325728800E-1,1.288750000E2
3.351968800E-1,1.288750000E2
3.378218800E-1,1.288750000E2
3.404458800E-1,1.288750000E2
3.430708800E-1,1.288750000E2
3.456948800E-1,1.352500000E2
3.483198800E-1,1.352500000E2
3.509438800E-1,1.352500000E2
3.535688800E-1,1.352500000E2
3.561938800E-1,1.352500000E2
3.588178800E-1,1.352500000E2
3.614428800E-1,1.352500000E2
3.640668800E-1,1.352500000E2
3.666918800E-1,1.352500000E2
3.693158800E-1,1.352500000E2
3.719408800E-1,1.352500000E2
3.745648800E-1,1.352500000E2
3.771898800E-1,1.352500000E2
3.798138800E-1,1.352500000E2
3.824388800E-1,1.352500000E2
3.850628800E-1,1.352500000E2
3.876878800E-1,1.352500000E2
3.903118800E-1,1.352500000E2
3.929368800E-1,1.352500000E2
3.955608800E-1,1.352500000E2
3.981858800E-1,1.288750000E2
4.008098800E-1,1.288750000E2
4.034348800E-1,1.288750000E2
4.060588800E-1,1.288750000E2
4.086838800E-1,1.288750000E2
4.113078800E-1,1.288750000E2
4.139328800E-1,1.288750000E2
4.165568800E-1,1.288750000E2
4.191818800E-1,1.288750000E2
4.218058800E-1,1.288750000E2
4.244308800E-1,1.288750000E2
4.270548800E-1,1.288750000E2
4.296798800E-1,1.288750000E2
4.323038800E-1,1.288750000E2
4.349288800E-1,1.288750000E2
4.375528800E-1,1.288750000E2
4.401778800E-1,1.288750000E2
4.428018800E-1,1.288750000E2
4.454268800E-1,1.288750000E2
4.480508800E-1,1.352500000E2
4.506758800E-1,1.352500000E2
4.532998800E-1,1.352500000E2
4.559248800E-1,1.352500000E2
4.585488800E-1,1.352500000E2
4.611738800E-1,1.352500000E2
4.637988800E-1,1.352500000E2
4.664228800E-1,1.352500000E2
4.690478800E-1,1.352500000E2
4.716718800E-1,1.352500000E2
4.742968800E-1,1.288750000E2
4.769208800E-1,1.288750000E2
4.795458800E-1,1.288750000E2
4.821698800E-1,1.288750000E2
4.847948800E-1,1.288750000E2
4.874188800E-1,1.288750000E2
