"Time (s)","Illuminance (lx)"
0.000000000E0,7.087500000E1
2.673964000E-3,7.087500000E1
1.280596400E-2,7.087500000E1
2.293796400E-2,7.087500000E1
3.306996400E-2,7.087500000E1
3.572496400E-2,7.087500000E1
3.834896400E-2,7.087500000E1
4.097396400E-2,7.087500000E1
4.359796400E-2,7.087500000E1
4.622296400E-2,7.087500000E1
4.884696400E-2,7.087500000E1
5.147196400E-2,7.087500000E1
5.409596400E-2,7.087500000E1
5.672096400E-2,7.087500000E1
5.934496400E-2,7.087500000E1
6.196996400E-2,7.087500000E1
6.459396400E-2,7.087500000E1
6.721896400E-2,7.087500000E1
6.984296400E-2,7.087500000E1
7.246796400E-2,7.087500000E1
7.509196400E-2,6.437500000E1
7.771696400E-2,6.437500000E1
8.034196400E-2,6.437500000E1
8.296596400E-2,6.437500000E1
8.559096400E-2,6.437500000E1
8.821496400E-2,6.437500000E1
9.083996400E-2,6.437500000E1
9.346396400E-2,6.437500000E1
9.608896400E-2,6.437500000E1
9.871296400E-2,7.087500000E1
1.013379640E-1,7.087500000E1
1.039619640E-1,7.087500000E1
1.065869640E-1,7.087500000E1
1.092109640E-1,7.087500000E1
1.118359640E-1,7.087500000E1
1.144599640E-1,7.087500000E1
1.170849640E-1,7.087500000E1
1.197089640E-1,7.087500000E1
1.223339640E-1,7.087500000E1
1.249579640E-1,7.087500000E1
1.275829640E-1,7.087500000E1
1.302069640E-1,7.087500000E1
1.328319640E-1,7.087500000E1
1.354559640E-1,7.087500000E1
1.380809640E-1,7.087500000E1
1.407049640E-1,7.087500000E1
1.433299640E-1,7.087500000E1
1.459539640E-1,7.087500000E1
1.485789640E-1,7.087500000E1
1.512029640E-1,7.087500000E1
1.538279640E-1,7.087500000E1
1.564519640E-1,7.087500000E1
1.590769640E-1,7.087500000E1
1.617009640E-1,7.087500000E1
1.643259640E-1,7.087500000E1
1.669499640E-1,7.087500000E1
1.695749640E-1,7.087500000E1
1.721989640E-1,7.087500000E1
1.748239640E-1,7.087500000E1
1.774479640E-1,7.087500000E1
1.800729640E-1,7.087500000E1
1.826969640E-1,7.087500000E1
1.853219640E-1,7.087500000E1
1.879459640E-1,7.087500000E1
