"Time (s)","Illuminance (lx)"
0.000000000E0,7.737500000E1
1.456398600E-2,7.087500000E1
2.469598600E-2,7.087500000E1
2.735098600E-2,7.087500000E1
2.997598600E-2,7.087500000E1
3.259998600E-2,7.087500000E1
3.522498600E-2,7.087500000E1
3.784898600E-2,7.087500000E1
4.047398600E-2,7.087500000E1
4.309798600E-2,7.737500000E1
4.572298600E-2,7.737500000E1
4.834698600E-2,7.737500000E1
5.097198600E-2,7.737500000E1
5.359598600E-2,7.737500000E1
5.622098600E-2,7.737500000E1
5.884498600E-2,7.737500000E1
6.146998600E-2,7.737500000E1
6.409498600E-2,7.737500000E1
6.671898600E-2,7.737500000E1
6.934398600E-2,7.087500000E1
7.196798600E-2,7.087500000E1
7.459298600E-2,7.087500000E1
7.721698600E-2,7.087500000E1
7.984198600E-2,7.087500000E1
8.246598600E-2,7.087500000E1
8.509098600E-2,7.087500000E1
8.771498600E-2,7.087500000E1
9.033998600E-2,7.087500000E1
9.296398600E-2,7.087500000E1
9.558898600E-2,7.087500000E1
9.821298600E-2,7.087500000E1
1.008379860E-1,7.087500000E1
1.034619860E-1,7.087500000E1
1.060869860E-1,7.087500000E1
1.087109860E-1,7.087500000E1
1.113359860E-1,7.087500000E1
1.139599860E-1,7.087500000E1
1.165849860E-1,7.087500000E1
1.192089860E-1,7.087500000E1
1.218339860E-1,7.087500000E1
1.244579860E-1,7.087500000E1
1.270829860E-1,7.087500000E1
1.297069860E-1,7.087500000E1
1.323319860E-1,7.087500000E1
1.349559860E-1,7.087500000E1
1.375809860E-1,7.087500000E1
1.402049860E-1,7.087500000E1
1.428299860E-1,7.087500000E1
1.454539860E-1,7.087500000E1
1.480789860E-1,7.087500000E1
1.507029860E-1,7.087500000E1
1.533279860E-1,7.087500000E1
1.559519860E-1,7.087500000E1
1.585769860E-1,7.087500000E1
1.612009860E-1,7.087500000E1
1.638259860E-1,7.087500000E1
1.664499860E-1,7.087500000E1
1.690749860E-1,7.087500000E1
1.716989860E-1,7.087500000E1
1.743239860E-1,7.087500000E1
1.769489860E-1,7.087500000E1
1.795729860E-1,7.087500000E1
1.821979860E-1,7.087500000E1
1.848219860E-1,7.087500000E1
1.874469860E-1,7.087500000E1
1.900709860E-1,7.087500000E1
1.926959860E-1,7.087500000E1
1.953199860E-1,7.087500000E1
1.979449860E-1,7.087500000E1
2.005689860E-1,7.087500000E1
2.031939860E-1,7.087500000E1
2.058179860E-1,7.087500000E1
2.084429860E-1,7.087500000E1
2.110669860E-1,7.087500000E1
2.136919860E-1,7.087500000E1
2.163159860E-1,7.087500000E1
2.189409860E-1,7.087500000E1
2.215649860E-1,7.087500000E1
2.241899860E-1,7.087500000E1
2.268139860E-1,7.087500000E1
2.294389860E-1,7.087500000E1
2.320629860E-1,7.087500000E1
2.346879860E-1,7.087500000E1
2.373119860E-1,7.087500000E1
2.399369860E-1,7.087500000E1
2.425609860E-1,7.087500000E1
2.451859860E-1,7.737500000E1
2.478099860E-1,7.737500000E1
2.504349860E-1,7.737500000E1
2.530589860E-1,7.737500000E1
2.556839860E-1,7.737500000E1
2.583079860E-1,7.737500000E1
2.609329860E-1,7.737500000E1
2.635569860E-1,7.737500000E1
2.661819860E-1,7.737500000E1
2.688059860E-1,7.737500000E1
2.714309860E-1,7.087500000E1
2.740549860E-1,7.087500000E1
2.766799860E-1,7.087500000E1
2.793039860E-1,7.087500000E1
2.819289860E-1,7.087500000E1
2.845529860E-1,7.087500000E1
2.871779860E-1,7.087500000E1
2.898029860E-1,7.087500000E1
2.924269860E-1,7.087500000E1
2.950519860E-1,7.087500000E1
2.976759860E-1,7.087500000E1
3.003009860E-1,7.087500000E1
3.029249860E-1,7.087500000E1
3.055499860E-1,7.087500000E1
3.081739860E-1,7.087500000E1
3.107989860E-1,7.087500000E1
3.134229860E-1,7.087500000E1
3.160479860E-1,7.087500000E1
3.186719860E-1,7.087500000E1
3.212969860E-1,7.087500000E1
3.239209860E-1,7.737500000E1
3.265459860E-1,7.737500000E1
3.291699860E-1,7.737500000E1
3.317949860E-1,7.737500000E1
3.344189860E-1,7.737500000E1
3.370439860E-1,7.737500000E1
3.396679860E-1,7.737500000E1
3.422929860E-1,7.737500000E1
3.449169860E-1,7.737500000E1
3.475419860E-1,7.737500000E1
3.501659860E-1,7.087500000E1
3.527909860E-1,7.087500000E1
3.554149860E-1,7.087500000E1
3.580399860E-1,7.087500000E1
3.606639860E-1,7.087500000E1
3.632889860E-1,7.087500000E1
3.659129860E-1,7.087500000E1
3.685379860E-1,7.087500000E1
3.711619860E-1,7.087500000E1
3.737869860E-1,7.087500000E1
3.764109860E-1,7.087500000E1
3.790359860E-1,7.087500000E1
3.816599860E-1,7.087500000E1
3.842849860E-1,7.087500000E1
3.869089860E-1,7.087500000E1
3.895339860E-1,7.087500000E1
3.921579860E-1,7.087500000E1
3.947829860E-1,7.087500000E1
3.974069860E-1,7.087500000E1
4.000319860E-1,7.737500000E1
4.026569860E-1,7.737500000E1
4.052809860E-1,7.737500000E1
4.079059860E-1,7.737500000E1
4.105299860E-1,7.737500000E1
4.131549860E-1,7.737500000E1
4.157789860E-1,7.737500000E1
4.184039860E-1,7.737500000E1
4.210279860E-1,7.737500000E1
4.236529860E-1,7.087500000E1
4.262769860E-1,7.087500000E1
4.289019860E-1,7.087500000E1
4.315259860E-1,7.087500000E1
4.341509860E-1,7.087500000E1
4.367749860E-1,7.087500000E1
4.393999860E-1,7.087500000E1
4.420239860E-1,7.087500000E1
4.446489860E-1,7.087500000E1
4.472729860E-1,7.087500000E1
4.498979860E-1,7.087500000E1
4.525219860E-1,7.087500000E1
4.551469860E-1,7.087500000E1
4.577709860E-1,7.087500000E1
4.603959860E-1,7.087500000E1
4.630199860E-1,7.087500000E1
4.656449860E-1,7.087500000E1
4.682689860E-1,7.087500000E1
4.708939860E-1,7.087500000E1
4.735179860E-1,7.087500000E1
4.761429860E-1,7.087500000E1
4.787669860E-1,7.087500000E1
4.813919860E-1,7.087500000E1
4.840159860E-1,7.087500000E1
4.866409860E-1,7.087500000E1
4.892649860E-1,7.087500000E1
4.918899860E-1,7.087500000E1
4.945139860E-1,7.087500000E1
4.971389860E-1,7.087500000E1
4.997629860E-1,7.087500000E1
5.023879860E-1,7.087500000E1
5.050119860E-1,7.087500000E1
5.076369860E-1,7.087500000E1
5.102609860E-1,7.087500000E1
5.128859860E-1,7.087500000E1
5.155109860E-1,7.087500000E1
5.181349860E-1,7.087500000E1
5.207599860E-1,7.087500000E1
5.233839860E-1,7.087500000E1
5.260089860E-1,7.087500000E1
5.286329860E-1,7.087500000E1
5.312579860E-1,7.087500000E1
5.338819860E-1,7.087500000E1
5.365069860E-1,7.087500000E1
5.391309860E-1,7.087500000E1
5.417559860E-1,7.087500000E1
5.443799860E-1,7.087500000E1
5.470049860E-1,7.087500000E1
5.496289860E-1,7.087500000E1
5.522539860E-1,7.737500000E1
5.548779860E-1,7.737500000E1
5.575029860E-1,7.737500000E1
5.601269860E-1,7.737500000E1
5.627519860E-1,7.737500000E1
5.653759860E-1,7.737500000E1
5.680009860E-1,7.737500000E1
5.706249860E-1,7.737500000E1
5.732499860E-1,7.737500000E1
5.758739860E-1,7.737500000E1
5.784989860E-1,7.737500000E1
5.811229860E-1,7.737500000E1
5.837479860E-1,7.737500000E1
5.863719860E-1,7.737500000E1
5.889969860E-1,7.737500000E1
5.916209860E-1,7.737500000E1
5.942459860E-1,7.737500000E1
5.968699860E-1,7.737500000E1
5.994949860E-1,7.737500000E1
6.021189860E-1,7.087500000E1
6.047439860E-1,7.087500000E1
6.073679860E-1,7.087500000E1
6.099929860E-1,7.087500000E1
6.126169860E-1,7.087500000E1
6.152419860E-1,7.087500000E1
6.178659860E-1,7.087500000E1
6.204909860E-1,7.087500000E1
6.231149860E-1,7.087500000E1
6.257399860E-1,7.087500000E1
6.283649860E-1,7.087500000E1
6.309889860E-1,7.087500000E1
6.336139860E-1,7.087500000E1
6.362379860E-1,7.087500000E1
6.388629860E-1,7.087500000E1
6.414869860E-1,7.087500000E1
6.441119860E-1,7.087500000E1
6.467359860E-1,7.087500000E1
6.493609860E-1,7.087500000E1
6.519849860E-1,7.087500000E1
6.546099860E-1,7.087500000E1
6.572339860E-1,7.087500000E1
6.598589860E-1,7.087500000E1
6.624829860E-1,7.087500000E1
6.651079860E-1,7.087500000E1
6.677319860E-1,7.087500000E1
6.703569860E-1,7.087500000E1
6.729809860E-1,7.087500000E1
6.756059860E-1,7.087500000E1
6.782299860E-1,7.087500000E1
6.808549860E-1,7.087500000E1
6.834789860E-1,7.087500000E1
6.861039860E-1,7.087500000E1
6.887279860E-1,7.087500000E1
6.913529860E-1,7.087500000E1
6.939769860E-1,7.087500000E1
6.966019860E-1,7.087500000E1
6.992259860E-1,7.087500000E1
7.018509860E-1,7.087500000E1
7.044749860E-1,7.087500000E1
7.070999860E-1,7.087500000E1
7.097239860E-1,7.087500000E1
7.123489860E-1,7.087500000E1
7.149729860E-1,7.087500000E1
7.175979860E-1,7.087500000E1
7.202219860E-1,7.087500000E1
7.228469860E-1,7.087500000E1
7.254709860E-1,7.087500000E1
7.280959860E-1,7.087500000E1
7.307199860E-1,7.087500000E1
7.333449860E-1,7.087500000E1
7.359699860E-1,7.087500000E1
7.385939860E-1,7.087500000E1
7.412189860E-1,7.087500000E1
7.438429860E-1,7.087500000E1
7.464679860E-1,7.087500000E1
7.490919860E-1,7.087500000E1
7.517169860E-1,7.087500000E1
7.543409860E-1,7.087500000E1
7.569659860E-1,7.087500000E1
7.595899860E-1,7.087500000E1
7.622149860E-1,7.087500000E1
7.648389860E-1,7.087500000E1
7.674639860E-1,7.087500000E1
7.700879860E-1,7.087500000E1
7.727129860E-1,7.087500000E1
7.753369860E-1,7.087500000E1
7.779619860E-1,7.087500000E1
7.805859860E-1,7.087500000E1
7.832109860E-1,7.087500000E1
7.858349860E-1,7.087500000E1
7.884599860E-1,7.087500000E1
7.910839860E-1,7.087500000E1
7.937089860E-1,7.087500000E1
7.963329860E-1,7.087500000E1
7.989579860E-1,7.087500000E1
8.015819860E-1,7.087500000E1
8.042069860E-1,7.087500000E1
8.068309860E-1,7.087500000E1
8.094559860E-1,7.087500000E1
8.120799860E-1,7.087500000E1
8.147049860E-1,7.087500000E1
8.173289860E-1,7.087500000E1
8.199539860E-1,7.087500000E1
8.225779860E-1,7.087500000E1
8.252029860E-1,7.087500000E1
8.278269860E-1,7.087500000E1
8.304519860E-1,7.087500000E1
8.330759860E-1,7.087500000E1
8.357009860E-1,7.087500000E1
8.383249860E-1,7.087500000E1
8.409499860E-1,7.087500000E1
8.435739860E-1,7.087500000E1
8.461989860E-1,7.087500000E1
8.488239860E-1,7.087500000E1
8.514479860E-1,7.087500000E1
8.540729860E-1,7.087500000E1
8.566969860E-1,7.087500000E1
8.593219860E-1,7.087500000E1
8.619459860E-1,7.087500000E1
8.645709860E-1,7.087500000E1
8.671949860E-1,7.087500000E1
8.698199860E-1,7.087500000E1
8.724439860E-1,7.087500000E1
8.750689860E-1,7.087500000E1
8.776929860E-1,7.087500000E1
8.803179860E-1,7.087500000E1
8.829419860E-1,7.737500000E1
8.855669860E-1,7.737500000E1
8.881909860E-1,7.737500000E1
8.908159860E-1,7.737500000E1
8.934399860E-1,7.737500000E1
8.960649860E-1,7.737500000E1
