"Time (s)","Illuminance (lx)"
0.000000000E0,0.000000000E0
9.414119000E-3,6.500000000E0
1.206911900E-2,6.500000000E0
1.469311900E-2,6.500000000E0
1.731811900E-2,6.500000000E0
1.994211900E-2,6.500000000E0
2.256711900E-2,6.500000000E0
2.519111900E-2,6.500000000E0
2.781611900E-2,6.500000000E0
3.044011900E-2,6.500000000E0
3.306511900E-2,6.500000000E0
3.568911900E-2,6.500000000E0
3.831411900E-2,6.500000000E0
4.093811900E-2,6.500000000E0
4.356311900E-2,6.500000000E0
4.618711900E-2,0.000000000E0
7.243311900E-2,6.500000000E0
7.505711900E-2,6.500000000E0
7.768211900E-2,6.500000000E0
8.030611900E-2,6.500000000E0
8.293111900E-2,6.500000000E0
8.555511900E-2,6.500000000E0
8.818011900E-2,6.500000000E0
9.080411900E-2,6.500000000E0
9.342911900E-2,6.500000000E0
9.605311900E-2,6.500000000E0
9.867811900E-2,0.000000000E0
1.249231190E-1,6.500000000E0
1.275471190E-1,6.500000000E0
1.301721190E-1,6.500000000E0
1.327961190E-1,6.500000000E0
1.354211190E-1,6.500000000E0
1.380451190E-1,6.500000000E0
1.406701190E-1,6.500000000E0
1.432941190E-1,6.500000000E0
1.459191190E-1,6.500000000E0
1.485431190E-1,0.000000000E0
1.747881190E-1,6.500000000E0
1.774131190E-1,6.500000000E0
1.800381190E-1,6.500000000E0
1.826621190E-1,6.500000000E0
1.852871190E-1,6.500000000E0
1.879111190E-1,6.500000000E0
1.905361190E-1,6.500000000E0
1.931601190E-1,6.500000000E0
1.957851190E-1,6.500000000E0
1.984091190E-1,0.000000000E0
3.007651190E-1,6.500000000E0
3.033901190E-1,6.500000000E0
3.060141190E-1,6.500000000E0
3.086391190E-1,6.500000000E0
3.112631190E-1,6.500000000E0
3.138881190E-1,6.500000000E0
3.165121190E-1,6.500000000E0
3.191371190E-1,6.500000000E0
3.217611190E-1,6.500000000E0
3.243861190E-1,6.500000000E0
3.270101190E-1,0.000000000E0
3.532551190E-1,6.500000000E0
3.558801190E-1,6.500000000E0
3.585041190E-1,6.500000000E0
3.611291190E-1,6.500000000E0
3.637531190E-1,6.500000000E0
3.663781190E-1,6.500000000E0
3.690021190E-1,6.500000000E0
3.716271190E-1,6.500000000E0
3.742511190E-1,6.500000000E0
3.768761190E-1,0.000000000E0
4.031211190E-1,6.500000000E0
4.057461190E-1,6.500000000E0
4.083701190E-1,6.500000000E0
4.109951190E-1,6.500000000E0
4.136191190E-1,6.500000000E0
4.162441190E-1,6.500000000E0
4.188681190E-1,6.500000000E0
4.214931190E-1,6.500000000E0
4.241171190E-1,6.500000000E0
4.267421190E-1,6.500000000E0
4.293661190E-1,6.500000000E0
4.319911190E-1,6.500000000E0
4.346151190E-1,6.500000000E0
4.372401190E-1,6.500000000E0
4.398641190E-1,6.500000000E0
4.424891190E-1,6.500000000E0
4.451131190E-1,6.500000000E0
4.477381190E-1,6.500000000E0
4.503621190E-1,6.500000000E0
4.529871190E-1,6.500000000E0
4.556111190E-1,0.000000000E0
4.792321190E-1,6.500000000E0
4.818561190E-1,6.500000000E0
4.844811190E-1,6.500000000E0
4.871051190E-1,6.500000000E0
4.897301190E-1,6.500000000E0
4.923541190E-1,6.500000000E0
4.949791190E-1,6.500000000E0
4.976031190E-1,6.500000000E0
5.002281190E-1,6.500000000E0
5.028521190E-1,6.500000000E0
5.054771190E-1,6.500000000E0
5.081011190E-1,6.500000000E0
5.107261190E-1,6.500000000E0
5.133511190E-1,6.500000000E0
5.159751190E-1,6.500000000E0
5.186001190E-1,6.500000000E0
5.212241190E-1,6.500000000E0
5.238491190E-1,6.500000000E0
5.264731190E-1,6.500000000E0
5.290981190E-1,6.500000000E0
5.317221190E-1,6.500000000E0
5.343471190E-1,6.500000000E0
5.369711190E-1,6.500000000E0
5.395961190E-1,6.500000000E0
5.422201190E-1,6.500000000E0
5.448451190E-1,6.500000000E0
5.474691190E-1,6.500000000E0
5.500941190E-1,6.500000000E0
5.527181190E-1,6.500000000E0
5.553431190E-1,6.500000000E0
5.579671190E-1,6.500000000E0
5.605921190E-1,6.500000000E0
5.632161190E-1,6.500000000E0
5.658411190E-1,6.500000000E0
5.684651190E-1,6.500000000E0
5.710901190E-1,6.500000000E0
5.737141190E-1,6.500000000E0
5.763391190E-1,6.500000000E0
5.789631190E-1,6.500000000E0
5.815881190E-1,0.000000000E0
6.839441190E-1,6.500000000E0
6.865681190E-1,6.500000000E0
6.891931190E-1,6.500000000E0
6.918171190E-1,6.500000000E0
6.944421190E-1,6.500000000E0
6.970661190E-1,6.500000000E0
6.996911190E-1,6.500000000E0
7.023151190E-1,6.500000000E0
7.049401190E-1,6.500000000E0
7.075641190E-1,6.500000000E0
7.101891190E-1,6.500000000E0
7.128131190E-1,6.500000000E0
7.154381190E-1,6.500000000E0
7.180621190E-1,6.500000000E0
7.206871190E-1,6.500000000E0
7.233111190E-1,6.500000000E0
7.259361190E-1,6.500000000E0
7.285601190E-1,6.500000000E0
7.311851190E-1,6.500000000E0
7.338091190E-1,6.500000000E0
7.364341190E-1,6.500000000E0
7.390591190E-1,6.500000000E0
7.416831190E-1,6.500000000E0
7.443081190E-1,6.500000000E0
7.469321190E-1,6.500000000E0
7.495571190E-1,6.500000000E0
7.521811190E-1,6.500000000E0
7.548061190E-1,6.500000000E0
7.574301190E-1,6.500000000E0
7.600551190E-1,6.500000000E0
7.626791190E-1,6.500000000E0
7.653041190E-1,6.500000000E0
7.679281190E-1,6.500000000E0
7.705531190E-1,6.500000000E0
7.731771190E-1,6.500000000E0
7.758021190E-1,6.500000000E0
7.784261190E-1,6.500000000E0
7.810511190E-1,6.500000000E0
7.836751190E-1,6.500000000E0
7.863001190E-1,6.500000000E0
7.889241190E-1,6.500000000E0
7.915491190E-1,6.500000000E0
7.941731190E-1,6.500000000E0
7.967981190E-1,6.500000000E0
7.994221190E-1,6.500000000E0
8.020471190E-1,6.500000000E0
8.046711190E-1,6.500000000E0
8.072961190E-1,6.500000000E0
8.099201190E-1,6.500000000E0
8.125451190E-1,6.500000000E0
8.151691190E-1,6.500000000E0
8.177941190E-1,6.500000000E0
8.204181190E-1,6.500000000E0
8.230431190E-1,6.500000000E0
8.256671190E-1,6.500000000E0
8.282921190E-1,6.500000000E0
8.309161190E-1,6.500000000E0
8.335411190E-1,6.500000000E0
8.361651190E-1,0.000000000E0
8.886561190E-1,6.500000000E0
8.912801190E-1,6.500000000E0
8.939051190E-1,6.500000000E0
8.965291190E-1,6.500000000E0
8.991541190E-1,6.500000000E0
9.017781190E-1,6.500000000E0
9.044031190E-1,6.500000000E0
9.070271190E-1,6.500000000E0
9.096521190E-1,6.500000000E0
9.122761190E-1,6.500000000E0
9.149011190E-1,6.500000000E0
9.175251190E-1,6.500000000E0
9.201501190E-1,6.500000000E0
9.227741190E-1,6.500000000E0
9.253991190E-1,6.500000000E0
9.280231190E-1,6.500000000E0
9.306481190E-1,6.500000000E0
9.332721190E-1,6.500000000E0
9.358971190E-1,6.500000000E0
9.385211190E-1,0.000000000E0
9.883871190E-1,6.500000000E0
9.910121190E-1,6.500000000E0
9.936361190E-1,6.500000000E0
9.962611190E-1,6.500000000E0
9.988851190E-1,6.500000000E0
1.001510119E0,6.500000000E0
1.004134119E0,6.500000000E0
1.006759119E0,6.500000000E0
1.009383119E0,6.500000000E0
1.012008119E0,6.500000000E0
1.014632119E0,6.500000000E0
1.017257119E0,6.500000000E0
1.019881119E0,6.500000000E0
1.022506119E0,6.500000000E0
1.025130119E0,6.500000000E0
1.027755119E0,6.500000000E0
1.030379119E0,6.500000000E0
1.033004119E0,6.500000000E0
1.035628119E0,6.500000000E0
1.038253119E0,6.500000000E0
1.040877119E0,6.500000000E0
1.043502119E0,6.500000000E0
1.046126119E0,6.500000000E0
1.048751119E0,6.500000000E0
1.051375119E0,6.500000000E0
1.054000119E0,6.500000000E0
1.056624119E0,6.500000000E0
1.059249119E0,6.500000000E0
1.061873119E0,6.500000000E0
1.064498119E0,6.500000000E0
1.067122119E0,0.000000000E0
1.090743119E0,6.500000000E0
1.093368119E0,6.500000000E0
1.095992119E0,6.500000000E0
1.098617119E0,6.500000000E0
1.101241119E0,6.500000000E0
1.103866119E0,6.500000000E0
1.106490119E0,6.500000000E0
1.109115119E0,6.500000000E0
1.111739119E0,6.500000000E0
1.114364119E0,6.500000000E0
1.116988119E0,0.000000000E0
1.143233119E0,6.500000000E0
1.145858119E0,6.500000000E0
1.148482119E0,6.500000000E0
1.151107119E0,6.500000000E0
1.153731119E0,6.500000000E0
1.156356119E0,6.500000000E0
1.158980119E0,6.500000000E0
1.161605119E0,6.500000000E0
1.164229119E0,6.500000000E0
1.166854119E0,6.500000000E0
1.169478119E0,6.500000000E0
1.172103119E0,6.500000000E0
1.174727119E0,6.500000000E0
1.177352119E0,6.500000000E0
1.179976119E0,6.500000000E0
1.182601119E0,6.500000000E0
1.185226119E0,6.500000000E0
1.187850119E0,6.500000000E0
1.190475119E0,6.500000000E0
1.193099119E0,6.500000000E0
1.195724119E0,6.500000000E0
1.198348119E0,6.500000000E0
1.200973119E0,6.500000000E0
1.203597119E0,6.500000000E0
1.206222119E0,6.500000000E0
1.208846119E0,6.500000000E0
1.211471119E0,6.500000000E0
1.214095119E0,6.500000000E0
1.216720119E0,0.000000000E0
1.345321119E0,6.500000000E0
1.347945119E0,6.500000000E0
1.350570119E0,6.500000000E0
1.353194119E0,6.500000000E0
1.355819119E0,6.500000000E0
1.358443119E0,6.500000000E0
1.361068119E0,6.500000000E0
1.363692119E0,6.500000000E0
1.366317119E0,6.500000000E0
1.368941119E0,6.500000000E0
1.371566119E0,6.500000000E0
1.374190119E0,6.500000000E0
1.376815119E0,6.500000000E0
1.379439119E0,6.500000000E0
1.382064119E0,6.500000000E0
1.384688119E0,6.500000000E0
1.387313119E0,6.500000000E0
1.389937119E0,6.500000000E0
1.392562119E0,6.500000000E0
1.395186119E0,0.000000000E0
1.421432119E0,6.500000000E0
1.424056119E0,6.500000000E0
1.426681119E0,6.500000000E0
1.429305119E0,6.500000000E0
1.431930119E0,6.500000000E0
1.434554119E0,6.500000000E0
1.437179119E0,6.500000000E0
1.439803119E0,6.500000000E0
1.442428119E0,6.500000000E0
1.445052119E0,6.500000000E0
1.447677119E0,0.000000000E0
1.523788119E0,6.500000000E0
1.526412119E0,6.500000000E0
1.529037119E0,6.500000000E0
1.531661119E0,6.500000000E0
1.534286119E0,6.500000000E0
1.536910119E0,6.500000000E0
1.539535119E0,6.500000000E0
1.542159119E0,6.500000000E0
1.544784119E0,6.500000000E0
1.547408119E0,6.500000000E0
1.550033119E0,0.000000000E0
1.676009119E0,6.500000000E0
1.678634119E0,6.500000000E0
1.681258119E0,6.500000000E0
1.683883119E0,6.500000000E0
1.686507119E0,6.500000000E0
1.689132119E0,6.500000000E0
1.691756119E0,6.500000000E0
1.694381119E0,6.500000000E0
1.697005119E0,6.500000000E0
1.699630119E0,6.500000000E0
1.702254119E0,6.500000000E0
1.704879119E0,6.500000000E0
1.707503119E0,6.500000000E0
1.710128119E0,6.500000000E0
1.712752119E0,6.500000000E0
1.715377119E0,6.500000000E0
1.718001119E0,6.500000000E0
1.720626119E0,6.500000000E0
1.723250119E0,6.500000000E0
1.725875119E0,6.500000000E0
1.728499119E0,6.500000000E0
1.731124119E0,6.500000000E0
1.733748119E0,6.500000000E0
1.736373119E0,6.500000000E0
1.738997119E0,6.500000000E0
1.741622119E0,6.500000000E0
1.744247119E0,6.500000000E0
1.746871119E0,6.500000000E0
1.749496119E0,6.500000000E0
1.752120119E0,0.000000000E0
1.778365119E0,6.500000000E0
1.780990119E0,6.500000000E0
1.783614119E0,6.500000000E0
1.786239119E0,6.500000000E0
1.788863119E0,6.500000000E0
1.791488119E0,6.500000000E0
1.794112119E0,6.500000000E0
1.796737119E0,6.500000000E0
1.799361119E0,6.500000000E0
1.801986119E0,6.500000000E0
1.804610119E0,6.500000000E0
1.807235119E0,6.500000000E0
1.809859119E0,6.500000000E0
1.812484119E0,6.500000000E0
1.815108119E0,6.500000000E0
1.817733119E0,6.500000000E0
1.820357119E0,6.500000000E0
1.822982119E0,6.500000000E0
1.825606119E0,6.500000000E0
1.828231119E0,6.500000000E0
1.830855119E0,0.000000000E0
1.854476119E0,6.500000000E0
1.857101119E0,6.500000000E0
1.859725119E0,6.500000000E0
1.862350119E0,6.500000000E0
1.864974119E0,6.500000000E0
1.867599119E0,6.500000000E0
1.870223119E0,6.500000000E0
1.872848119E0,6.500000000E0
