"event","experiment time","system time","system time text"
"START",0.000000000E0,1738794790.287,"2025-02-05 17:33:10.287 UTC-05:00"
"PAUSE",5.149362650E0,1738794795.437,"2025-02-05 17:33:15.437 UTC-05:00"
"START",5.149362650E0,1738794809.824,"2025-02-05 17:33:29.824 UTC-05:00"
"PAUSE",1.101223226E1,1738794815.687,"2025-02-05 17:33:35.687 UTC-05:00"
"START",1.101223226E1,1738794821.191,"2025-02-05 17:33:41.191 UTC-05:00"
"PAUSE",1.511204368E1,1738794825.291,"2025-02-05 17:33:45.291 UTC-05:00"
"START",1.511204368E1,1738794829.736,"2025-02-05 17:33:49.736 UTC-05:00"
"PAUSE",2.001378741E1,1738794834.638,"2025-02-05 17:33:54.638 UTC-05:00"
"START",2.001378741E1,1738794839.648,"2025-02-05 17:33:59.648 UTC-05:00"
"PAUSE",2.460633575E1,1738794844.241,"2025-02-05 17:34:04.241 UTC-05:00"
"START",2.460633575E1,1738794849.446,"2025-02-05 17:34:09.446 UTC-05:00"
"PAUSE",2.872491590E1,1738794853.565,"2025-02-05 17:34:13.565 UTC-05:00"
"START",2.872491590E1,1738794857.728,"2025-02-05 17:34:17.728 UTC-05:00"
"PAUSE",3.277439682E1,1738794861.778,"2025-02-05 17:34:21.778 UTC-05:00"
"START",3.277439682E1,1738794868.736,"2025-02-05 17:34:28.736 UTC-05:00"
"PAUSE",3.747501559E1,1738794873.437,"2025-02-05 17:34:33.437 UTC-05:00"
"START",3.747501559E1,1738794881.959,"2025-02-05 17:34:41.959 UTC-05:00"
"PAUSE",4.277601651E1,1738794887.260,"2025-02-05 17:34:47.260 UTC-05:00"
"START",4.277601651E1,1738794897.030,"2025-02-05 17:34:57.030 UTC-05:00"
"PAUSE",4.682377177E1,1738794901.078,"2025-02-05 17:35:01.078 UTC-05:00"
"START",4.682377177E1,1738794908.657,"2025-02-05 17:35:08.657 UTC-05:00"
"PAUSE",5.169967481E1,1738794913.533,"2025-02-05 17:35:13.533 UTC-05:00"
"START",5.169967481E1,1738794919.671,"2025-02-05 17:35:19.671 UTC-05:00"
"PAUSE",5.620658546E1,1738794924.178,"2025-02-05 17:35:24.178 UTC-05:00"
"START",5.620658546E1,1738794940.197,"2025-02-05 17:35:40.197 UTC-05:00"
"PAUSE",5.995539107E1,1738794943.946,"2025-02-05 17:35:43.946 UTC-05:00"
"START",5.995539107E1,1738794950.598,"2025-02-05 17:35:50.598 UTC-05:00"
"PAUSE",6.441000322E1,1738794955.053,"2025-02-05 17:35:55.053 UTC-05:00"
"START",6.441000322E1,1738794961.181,"2025-02-05 17:36:01.181 UTC-05:00"
"PAUSE",6.917846391E1,1738794965.949,"2025-02-05 17:36:05.949 UTC-05:00"
"START",6.917846391E1,1738794970.911,"2025-02-05 17:36:10.911 UTC-05:00"
"PAUSE",7.372405995E1,1738794975.457,"2025-02-05 17:36:15.457 UTC-05:00"
"START",7.372405995E1,1738794980.016,"2025-02-05 17:36:20.016 UTC-05:00"
"PAUSE",7.797411267E1,1738794984.266,"2025-02-05 17:36:24.266 UTC-05:00"
"START",7.797411267E1,1738794988.739,"2025-02-05 17:36:28.739 UTC-05:00"
"PAUSE",8.256682109E1,1738794993.332,"2025-02-05 17:36:33.332 UTC-05:00"
"START",8.256682109E1,1738794997.884,"2025-02-05 17:36:37.884 UTC-05:00"
"PAUSE",8.665126171E1,1738795001.969,"2025-02-05 17:36:41.969 UTC-05:00"
