Grados,Luminancia (lx),Incertidumbre (lx)
0,6.176348547717843,0.0455608202963295
10,5.0,0.7905694150420949
20,0.0,0.0
30,0.0,0.0
40,0.0,0.0
50,0.0,0.0
60,0.0,0.0
70,0.0,0.0
80,0.0,0.0
90,0.0,0.0
100,5.833333333333333,0.22473328748774735
110,6.280546623794212,0.03329923765624567
120,6.5,0.0
130,7.859660766961652,0.09613841290197594
140,10.98166851134477,0.14432055160550375
150,10.455211962833914,0.14317649062225338
160,7.534456118665019,0.08703358085755433
170,6.5,0.0
180,6.341205211726384,0.02864717129105998
