"Time (s)","Illuminance (lx)"
0.000000000E0,2.575000000E1
1.265251000E-2,2.575000000E1
2.278451000E-2,2.575000000E1
3.291551000E-2,2.575000000E1
4.304751000E-2,2.575000000E1
4.570251000E-2,2.575000000E1
4.832751000E-2,2.575000000E1
5.095151000E-2,2.575000000E1
5.357651000E-2,2.575000000E1
5.620051000E-2,2.575000000E1
5.882551000E-2,2.575000000E1
6.144951000E-2,2.575000000E1
6.407451000E-2,2.575000000E1
6.669851000E-2,2.575000000E1
6.932351000E-2,2.575000000E1
7.194751000E-2,2.575000000E1
7.457251000E-2,2.575000000E1
7.719651000E-2,2.575000000E1
7.982151000E-2,2.575000000E1
8.244651000E-2,2.575000000E1
8.507051000E-2,2.575000000E1
8.769551000E-2,2.575000000E1
9.031951000E-2,2.575000000E1
9.294451000E-2,2.575000000E1
9.556851000E-2,2.575000000E1
9.819351000E-2,2.575000000E1
1.008175100E-1,2.575000000E1
1.034425100E-1,2.575000000E1
1.060665100E-1,2.575000000E1
1.086915100E-1,2.575000000E1
1.113155100E-1,2.575000000E1
1.139405100E-1,2.575000000E1
1.165645100E-1,2.575000000E1
1.191895100E-1,2.575000000E1
1.218135100E-1,2.575000000E1
1.244385100E-1,2.575000000E1
1.270625100E-1,2.575000000E1
1.296875100E-1,2.575000000E1
1.323115100E-1,2.575000000E1
1.349365100E-1,2.575000000E1
1.375605100E-1,2.575000000E1
1.401855100E-1,2.575000000E1
1.428095100E-1,2.575000000E1
1.454345100E-1,2.575000000E1
1.480585100E-1,2.575000000E1
1.506835100E-1,2.575000000E1
1.533075100E-1,2.575000000E1
1.559325100E-1,2.575000000E1
1.585565100E-1,2.575000000E1
1.611815100E-1,2.575000000E1
1.638055100E-1,2.575000000E1
1.664305100E-1,2.575000000E1
1.690545100E-1,2.575000000E1
1.716795100E-1,2.575000000E1
1.743035100E-1,2.575000000E1
1.769285100E-1,2.575000000E1
1.795525100E-1,2.575000000E1
1.821775100E-1,2.575000000E1
1.848015100E-1,2.575000000E1
1.874265100E-1,2.575000000E1
1.900505100E-1,2.575000000E1
1.926755100E-1,2.575000000E1
1.953005100E-1,2.575000000E1
1.979245100E-1,2.575000000E1
2.005495100E-1,2.575000000E1
2.031735100E-1,2.575000000E1
2.057985100E-1,2.575000000E1
2.084225100E-1,2.575000000E1
2.110475100E-1,2.575000000E1
2.136715100E-1,2.575000000E1
2.162965100E-1,2.575000000E1
2.189205100E-1,2.575000000E1
