"Time (s)","Illuminance (lx)"
0.000000000E0,1.937500000E1
4.198641600E-2,1.937500000E1
4.464141600E-2,1.937500000E1
4.726641600E-2,1.937500000E1
4.989041600E-2,1.937500000E1
5.251541600E-2,1.937500000E1
5.513941600E-2,1.937500000E1
5.776441600E-2,1.937500000E1
6.038841600E-2,1.937500000E1
6.301341600E-2,1.937500000E1
6.563741600E-2,1.937500000E1
6.826241600E-2,1.937500000E1
7.088641600E-2,1.937500000E1
7.351141600E-2,1.937500000E1
7.613541600E-2,1.937500000E1
7.876041600E-2,1.937500000E1
8.138441600E-2,1.937500000E1
8.400941600E-2,1.937500000E1
8.663341600E-2,1.937500000E1
8.925841600E-2,1.937500000E1
9.188341600E-2,1.937500000E1
9.450741600E-2,1.937500000E1
9.713241600E-2,1.937500000E1
9.975641600E-2,1.937500000E1
1.023814160E-1,1.937500000E1
1.050054160E-1,1.937500000E1
1.076304160E-1,1.937500000E1
1.102544160E-1,1.937500000E1
1.128794160E-1,1.937500000E1
1.155034160E-1,1.937500000E1
1.181284160E-1,1.937500000E1
1.207524160E-1,1.937500000E1
1.233774160E-1,1.937500000E1
1.260014160E-1,1.937500000E1
1.286264160E-1,1.937500000E1
1.312504160E-1,1.937500000E1
1.338754160E-1,1.937500000E1
1.364994160E-1,1.937500000E1
1.391244160E-1,1.937500000E1
1.417484160E-1,1.937500000E1
1.443734160E-1,1.937500000E1
1.469974160E-1,1.937500000E1
1.496224160E-1,1.937500000E1
1.522464160E-1,1.937500000E1
1.548714160E-1,1.937500000E1
1.574954160E-1,1.937500000E1
1.601204160E-1,1.937500000E1
1.627444160E-1,1.937500000E1
1.653694160E-1,1.937500000E1
1.679934160E-1,1.937500000E1
1.706184160E-1,1.937500000E1
1.732424160E-1,1.937500000E1
1.758674160E-1,1.937500000E1
1.784914160E-1,1.937500000E1
1.811164160E-1,1.937500000E1
1.837404160E-1,1.937500000E1
1.863654160E-1,1.937500000E1
1.889894160E-1,1.937500000E1
1.916144160E-1,1.937500000E1
1.942384160E-1,1.937500000E1
1.968634160E-1,1.937500000E1
1.994874160E-1,1.937500000E1
2.021124160E-1,1.937500000E1
2.047374160E-1,1.937500000E1
2.073614160E-1,1.937500000E1
2.099864160E-1,1.937500000E1
2.126104160E-1,1.937500000E1
