"event","experiment time","system time","system time text"
"START",0.000000000E0,1738793699.707,"2025-02-05 17:14:59.707 UTC-05:00"
"PAUSE",1.629778049E1,1738793716.005,"2025-02-05 17:15:16.005 UTC-05:00"
"START",1.629778049E1,1738793797.093,"2025-02-05 17:16:37.093 UTC-05:00"
"PAUSE",3.147312636E1,1738793812.269,"2025-02-05 17:16:52.269 UTC-05:00"
"START",3.147312636E1,1738793822.381,"2025-02-05 17:17:02.381 UTC-05:00"
"PAUSE",3.977590055E1,1738793830.683,"2025-02-05 17:17:10.683 UTC-05:00"
"START",3.977590055E1,1738793837.568,"2025-02-05 17:17:17.568 UTC-05:00"
"PAUSE",4.701757497E1,1738793844.810,"2025-02-05 17:17:24.810 UTC-05:00"
"START",4.701757497E1,1738793851.340,"2025-02-05 17:17:31.340 UTC-05:00"
"PAUSE",5.408686950E1,1738793858.409,"2025-02-05 17:17:38.409 UTC-05:00"
"START",5.408686950E1,1738793865.136,"2025-02-05 17:17:45.136 UTC-05:00"
"PAUSE",6.148362880E1,1738793872.533,"2025-02-05 17:17:52.533 UTC-05:00"
"START",6.148362880E1,1738793884.857,"2025-02-05 17:18:04.857 UTC-05:00"
"PAUSE",6.859852184E1,1738793891.972,"2025-02-05 17:18:11.972 UTC-05:00"
"START",6.859852184E1,1738793982.291,"2025-02-05 17:19:42.291 UTC-05:00"
"PAUSE",7.500403425E1,1738793988.697,"2025-02-05 17:19:48.697 UTC-05:00"
"START",7.500403425E1,1738794000.393,"2025-02-05 17:20:00.393 UTC-05:00"
"PAUSE",8.336678409E1,1738794008.756,"2025-02-05 17:20:08.756 UTC-05:00"
"START",8.336678409E1,1738794016.189,"2025-02-05 17:20:16.189 UTC-05:00"
"PAUSE",9.057663955E1,1738794023.398,"2025-02-05 17:20:23.398 UTC-05:00"
"START",9.057663955E1,1738794058.316,"2025-02-05 17:20:58.316 UTC-05:00"
"PAUSE",9.704846189E1,1738794064.788,"2025-02-05 17:21:04.788 UTC-05:00"
"START",9.704846189E1,1738794206.574,"2025-02-05 17:23:26.574 UTC-05:00"
"PAUSE",1.056683424E2,1738794215.194,"2025-02-05 17:23:35.194 UTC-05:00"
