"Time (s)","Illuminance (lx)"
0.000000000E0,0.000000000E0
5.428516689E0,0.000000000E0
1.112681253E1,0.000000000E0
1.711505353E1,0.000000000E0
2.290899368E1,0.000000000E0
2.780304229E1,0.000000000E0
3.349851252E1,6.500000000E0
3.350213118E1,6.500000000E0
3.351226318E1,6.500000000E0
3.352239418E1,6.500000000E0
3.352504918E1,6.500000000E0
3.352767418E1,6.500000000E0
3.353029818E1,6.500000000E0
3.353292318E1,6.500000000E0
3.353554718E1,6.500000000E0
3.353817218E1,6.500000000E0
3.354079618E1,6.500000000E0
3.354342118E1,6.500000000E0
3.354604618E1,6.500000000E0
3.354867018E1,6.500000000E0
3.355129518E1,6.500000000E0
3.355391918E1,6.500000000E0
3.355654418E1,6.500000000E0
3.355916818E1,6.500000000E0
3.356179318E1,6.500000000E0
3.356441718E1,6.500000000E0
3.356704218E1,6.500000000E0
3.356966618E1,6.500000000E0
3.357229118E1,6.500000000E0
3.357491518E1,6.500000000E0
3.357754018E1,6.500000000E0
3.358016418E1,6.500000000E0
3.358278918E1,6.500000000E0
3.358541318E1,6.500000000E0
3.358803818E1,6.500000000E0
3.359066218E1,6.500000000E0
3.359328718E1,6.500000000E0
3.359591118E1,6.500000000E0
3.359853618E1,6.500000000E0
3.360116018E1,6.500000000E0
3.360378518E1,6.500000000E0
3.360640918E1,6.500000000E0
3.360903418E1,6.500000000E0
3.361165818E1,6.500000000E0
3.361428318E1,6.500000000E0
3.361690718E1,6.500000000E0
3.361953218E1,6.500000000E0
3.362215618E1,6.500000000E0
3.362478118E1,6.500000000E0
3.362740518E1,6.500000000E0
3.363003018E1,6.500000000E0
3.363265418E1,6.500000000E0
3.363527918E1,6.500000000E0
3.363790318E1,6.500000000E0
3.364052818E1,6.500000000E0
3.364315218E1,6.500000000E0
3.364577718E1,6.500000000E0
3.364840118E1,6.500000000E0
3.365102618E1,6.500000000E0
3.365365018E1,6.500000000E0
3.365627518E1,6.500000000E0
3.365890018E1,6.500000000E0
3.366152418E1,6.500000000E0
3.366414918E1,6.500000000E0
3.366677318E1,6.500000000E0
3.366939818E1,6.500000000E0
3.367202218E1,6.500000000E0
3.367464718E1,6.500000000E0
3.367727118E1,6.500000000E0
3.367989618E1,6.500000000E0
3.368252018E1,6.500000000E0
3.368514518E1,6.500000000E0
3.368776918E1,6.500000000E0
3.369039418E1,6.500000000E0
3.369301818E1,6.500000000E0
3.369564318E1,6.500000000E0
3.369826718E1,6.500000000E0
3.370089218E1,6.500000000E0
3.370351618E1,6.500000000E0
3.370614118E1,6.500000000E0
3.370876518E1,6.500000000E0
3.371139018E1,6.500000000E0
3.371401418E1,6.500000000E0
3.371663918E1,6.500000000E0
3.371926318E1,0.000000000E0
3.374550818E1,6.500000000E0
3.374813318E1,6.500000000E0
3.375075718E1,6.500000000E0
3.375338218E1,6.500000000E0
3.375600618E1,6.500000000E0
3.375863118E1,6.500000000E0
3.376125518E1,6.500000000E0
3.376388018E1,6.500000000E0
3.376650418E1,6.500000000E0
3.376912918E1,6.500000000E0
3.377175418E1,6.500000000E0
3.377437818E1,6.500000000E0
3.377700318E1,6.500000000E0
3.377962718E1,6.500000000E0
3.378225218E1,6.500000000E0
3.378487618E1,6.500000000E0
3.378750118E1,6.500000000E0
3.379012518E1,6.500000000E0
3.379275018E1,6.500000000E0
3.379537418E1,6.500000000E0
3.379799918E1,6.500000000E0
3.380062318E1,6.500000000E0
3.380324818E1,6.500000000E0
3.380587218E1,6.500000000E0
3.380849718E1,6.500000000E0
3.381112118E1,6.500000000E0
3.381374618E1,6.500000000E0
3.381637018E1,6.500000000E0
3.381899518E1,6.500000000E0
3.382161918E1,0.000000000E0
3.384786418E1,6.500000000E0
3.385048918E1,6.500000000E0
3.385311318E1,6.500000000E0
3.385573818E1,6.500000000E0
3.385836218E1,6.500000000E0
3.386098718E1,6.500000000E0
3.386361118E1,6.500000000E0
3.386623618E1,6.500000000E0
3.386886018E1,6.500000000E0
3.387148518E1,6.500000000E0
3.387410918E1,6.500000000E0
3.387673418E1,6.500000000E0
3.387935818E1,6.500000000E0
3.388198318E1,6.500000000E0
3.388460818E1,6.500000000E0
3.388723218E1,6.500000000E0
3.388985718E1,6.500000000E0
3.389248118E1,6.500000000E0
3.389510618E1,6.500000000E0
3.389773018E1,6.500000000E0
3.390035518E1,6.500000000E0
3.390297918E1,6.500000000E0
3.390560418E1,6.500000000E0
3.390822818E1,6.500000000E0
3.391085318E1,6.500000000E0
3.391347718E1,6.500000000E0
3.391610218E1,6.500000000E0
3.391872618E1,6.500000000E0
3.392135118E1,6.500000000E0
3.392397518E1,6.500000000E0
3.392660018E1,6.500000000E0
3.392922418E1,6.500000000E0
3.393184918E1,6.500000000E0
3.393447318E1,6.500000000E0
3.393709818E1,6.500000000E0
3.393972218E1,6.500000000E0
3.394234718E1,6.500000000E0
3.394497118E1,6.500000000E0
3.394759618E1,6.500000000E0
3.395022018E1,6.500000000E0
3.395284518E1,6.500000000E0
3.395546918E1,6.500000000E0
3.395809418E1,6.500000000E0
3.396071818E1,6.500000000E0
3.396334318E1,6.500000000E0
3.396596718E1,6.500000000E0
3.396859218E1,6.500000000E0
3.397121618E1,6.500000000E0
3.397384118E1,6.500000000E0
3.397646518E1,6.500000000E0
3.397909018E1,6.500000000E0
3.398171418E1,6.500000000E0
3.398433918E1,6.500000000E0
3.398696318E1,6.500000000E0
3.398958818E1,6.500000000E0
3.399221318E1,6.500000000E0
3.399483718E1,6.500000000E0
3.399746218E1,6.500000000E0
3.400008618E1,0.000000000E0
3.405257618E1,6.500000000E0
3.405520118E1,6.500000000E0
3.405782518E1,6.500000000E0
3.406045018E1,6.500000000E0
3.406307418E1,6.500000000E0
3.406569918E1,6.500000000E0
3.406832318E1,6.500000000E0
3.407094818E1,6.500000000E0
3.407357218E1,6.500000000E0
3.407619718E1,6.500000000E0
3.407882118E1,6.500000000E0
3.408144618E1,6.500000000E0
3.408407018E1,6.500000000E0
3.408669518E1,6.500000000E0
3.408931918E1,6.500000000E0
3.409194418E1,6.500000000E0
3.409456818E1,6.500000000E0
3.409719318E1,6.500000000E0
3.409981718E1,6.500000000E0
3.410244218E1,6.500000000E0
3.410506718E1,6.500000000E0
