"event","experiment time","system time","system time text"
"START",0.000000000E0,1738794290.953,"2025-02-05 17:24:50.953 UTC-05:00"
"PAUSE",5.428516689E0,1738794296.381,"2025-02-05 17:24:56.381 UTC-05:00"
"START",5.428516689E0,1738794311.499,"2025-02-05 17:25:11.499 UTC-05:00"
"PAUSE",1.112681253E1,1738794317.198,"2025-02-05 17:25:17.198 UTC-05:00"
"START",1.112681253E1,1738794338.815,"2025-02-05 17:25:38.815 UTC-05:00"
"PAUSE",1.711505353E1,1738794344.804,"2025-02-05 17:25:44.804 UTC-05:00"
"START",1.711505353E1,1738794410.284,"2025-02-05 17:26:50.284 UTC-05:00"
"PAUSE",2.290899368E1,1738794416.078,"2025-02-05 17:26:56.078 UTC-05:00"
"START",2.290899368E1,1738794424.038,"2025-02-05 17:27:04.038 UTC-05:00"
"PAUSE",2.780304229E1,1738794428.932,"2025-02-05 17:27:08.932 UTC-05:00"
"START",2.780304229E1,1738794440.192,"2025-02-05 17:27:20.192 UTC-05:00"
"PAUSE",3.349851252E1,1738794445.888,"2025-02-05 17:27:25.888 UTC-05:00"
"START",3.349851252E1,1738794480.717,"2025-02-05 17:28:00.717 UTC-05:00"
"PAUSE",3.846106816E1,1738794485.680,"2025-02-05 17:28:05.680 UTC-05:00"
"START",3.846106816E1,1738794495.022,"2025-02-05 17:28:15.022 UTC-05:00"
"PAUSE",4.406719920E1,1738794500.628,"2025-02-05 17:28:20.628 UTC-05:00"
"START",4.406719920E1,1738794505.329,"2025-02-05 17:28:25.329 UTC-05:00"
"PAUSE",4.940173212E1,1738794510.664,"2025-02-05 17:28:30.664 UTC-05:00"
"START",4.940173212E1,1738794514.579,"2025-02-05 17:28:34.579 UTC-05:00"
"PAUSE",5.511951408E1,1738794520.297,"2025-02-05 17:28:40.297 UTC-05:00"
"START",5.511951408E1,1738794524.160,"2025-02-05 17:28:44.160 UTC-05:00"
"PAUSE",6.183208280E1,1738794530.873,"2025-02-05 17:28:50.873 UTC-05:00"
"START",6.183208280E1,1738794534.422,"2025-02-05 17:28:54.422 UTC-05:00"
"PAUSE",6.742760361E1,1738794540.018,"2025-02-05 17:29:00.018 UTC-05:00"
"START",6.742760361E1,1738794544.221,"2025-02-05 17:29:04.221 UTC-05:00"
"PAUSE",7.344898826E1,1738794550.243,"2025-02-05 17:29:10.243 UTC-05:00"
"START",7.344898826E1,1738794555.410,"2025-02-05 17:29:15.410 UTC-05:00"
"PAUSE",7.900782268E1,1738794560.969,"2025-02-05 17:29:20.969 UTC-05:00"
"START",7.900782268E1,1738794567.597,"2025-02-05 17:29:27.597 UTC-05:00"
"PAUSE",8.471799029E1,1738794573.307,"2025-02-05 17:29:33.307 UTC-05:00"
"START",8.471799029E1,1738794579.615,"2025-02-05 17:29:39.615 UTC-05:00"
"PAUSE",8.570766559E1,1738794580.605,"2025-02-05 17:29:40.605 UTC-05:00"
