	profile_A
n,x,luma
0.000000E0,2.297329E1,5.453496E0
1.000000E0,2.296261E1,5.428948E0
2.000000E0,2.295193E1,6.511720E0
3.000000E0,2.294126E1,7.933301E0
4.000000E0,2.293058E1,7.476238E0
5.000000E0,2.291990E1,7.004636E0
6.000000E0,2.290923E1,7.695256E0
7.000000E0,2.289855E1,7.109712E0
8.000000E0,2.288787E1,6.006646E0
9.000000E0,2.287720E1,5.010334E0
1.000000E1,2.286652E1,4.940588E0
1.100000E1,2.285584E1,6.211088E0
1.200000E1,2.284517E1,6.542818E0
1.300000E1,2.283449E1,6.726405E0
1.400000E1,2.282381E1,6.610209E0
1.500000E1,2.281314E1,6.840176E0
1.600000E1,2.280246E1,6.361567E0
1.700000E1,2.279178E1,6.338824E0
1.800000E1,2.278111E1,6.143858E0
1.900000E1,2.277043E1,5.584776E0
2.000000E1,2.275975E1,6.525712E0
2.100000E1,2.274908E1,7.505953E0
2.200000E1,2.273840E1,8.660454E0
2.300000E1,2.272772E1,8.208282E0
2.400000E1,2.271705E1,7.047131E0
2.500000E1,2.270637E1,7.242587E0
2.600000E1,2.269569E1,6.637205E0
2.700000E1,2.268502E1,6.008674E0
2.800000E1,2.267434E1,7.025792E0
2.900000E1,2.266366E1,7.525064E0
3.000000E1,2.265299E1,6.308512E0
3.100000E1,2.264231E1,6.329119E0
3.200000E1,2.263163E1,6.660441E0
3.300000E1,2.262096E1,5.686914E0
3.400000E1,2.261028E1,5.912430E0
3.500000E1,2.259960E1,6.209801E0
3.600000E1,2.258893E1,6.007224E0
3.700000E1,2.257825E1,5.781598E0
3.800000E1,2.256757E1,5.987989E0
3.900000E1,2.255690E1,6.196773E0
4.000000E1,2.254622E1,6.350327E0
4.100000E1,2.253555E1,7.245784E0
4.200000E1,2.252487E1,6.616867E0
4.300000E1,2.251419E1,6.050363E0
4.400000E1,2.250352E1,6.123667E0
4.500000E1,2.249284E1,5.247899E0
4.600000E1,2.248216E1,5.452200E0
4.700000E1,2.247149E1,6.128288E0
4.800000E1,2.246081E1,5.826878E0
4.900000E1,2.245013E1,5.774730E0
5.000000E1,2.243946E1,5.140333E0
5.100000E1,2.242878E1,5.525507E0
5.200000E1,2.241810E1,6.063087E0
5.300000E1,2.240743E1,5.645780E0
5.400000E1,2.239675E1,5.622967E0
5.500000E1,2.238607E1,4.941849E0
5.600000E1,2.237540E1,4.248917E0
5.700000E1,2.236472E1,5.229103E0
5.800000E1,2.235404E1,6.219551E0
5.900000E1,2.234337E1,7.003261E0
6.000000E1,2.233269E1,7.399646E0
6.100000E1,2.232201E1,6.332845E0
6.200000E1,2.231134E1,4.835181E0
6.300000E1,2.230066E1,4.105370E0
6.400000E1,2.228998E1,4.304067E0
6.500000E1,2.227931E1,5.260624E0
6.600000E1,2.226863E1,6.373651E0
6.700000E1,2.225795E1,7.414980E0
6.800000E1,2.224728E1,6.942641E0
6.900000E1,2.223660E1,6.265661E0
7.000000E1,2.222592E1,7.000638E0
7.100000E1,2.221525E1,7.258969E0
7.200000E1,2.220457E1,7.681776E0
7.300000E1,2.219389E1,8.691214E0
7.400000E1,2.218322E1,8.936041E0
7.500000E1,2.217254E1,7.727791E0
7.600000E1,2.216186E1,7.023845E0
7.700000E1,2.215119E1,6.664976E0
7.800000E1,2.214051E1,7.233402E0
7.900000E1,2.212983E1,8.064725E0
8.000000E1,2.211916E1,8.022408E0
8.100000E1,2.210848E1,6.520333E0
8.200000E1,2.209780E1,5.566721E0
8.300000E1,2.208713E1,5.977944E0
8.400000E1,2.207645E1,6.640277E0
8.500000E1,2.206577E1,7.026786E0
8.600000E1,2.205510E1,7.760789E0
8.700000E1,2.204442E1,8.024773E0
8.800000E1,2.203374E1,7.474184E0
8.900000E1,2.202307E1,6.896685E0
9.000000E1,2.201239E1,7.186607E0
9.100000E1,2.200171E1,7.002660E0
9.200000E1,2.199104E1,7.089251E0
9.300000E1,2.198036E1,7.352067E0
9.400000E1,2.196968E1,7.212853E0
9.500000E1,2.195901E1,7.631649E0
9.600000E1,2.194833E1,7.699286E0
9.700000E1,2.193765E1,7.459756E0
9.800000E1,2.192698E1,6.556250E0
9.900000E1,2.191630E1,5.805165E0
1.000000E2,2.190563E1,7.484134E0
1.010000E2,2.189495E1,8.169993E0
1.020000E2,2.188427E1,7.018795E0
1.030000E2,2.187360E1,7.028759E0
1.040000E2,2.186292E1,7.147487E0
1.050000E2,2.185224E1,6.722010E0
1.060000E2,2.184157E1,5.835363E0
1.070000E2,2.183089E1,6.474480E0
1.080000E2,2.182021E1,7.202928E0
