	profile_A
n	x	y	luma
0.000000E0	1.148934E1	-2.831318E-3	4.676581E0
1.000000E0	1.148413E1	-2.831318E-3	4.264440E0
2.000000E0	1.147893E1	-2.831318E-3	4.101202E0
3.000000E0	1.147372E1	-2.831318E-3	4.597945E0
4.000000E0	1.146851E1	-2.831318E-3	4.624984E0
5.000000E0	1.146330E1	-2.831318E-3	4.918009E0
6.000000E0	1.145810E1	-2.831318E-3	4.888886E0
7.000000E0	1.145289E1	-2.831318E-3	5.449599E0
8.000000E0	1.144768E1	-2.831318E-3	5.375585E0
9.000000E0	1.144247E1	-2.831318E-3	4.655587E0
1.000000E1	1.143727E1	-2.831318E-3	5.432383E0
1.100000E1	1.143206E1	-2.831318E-3	5.347094E0
1.200000E1	1.142685E1	-2.831318E-3	5.091389E0
1.300000E1	1.142164E1	-2.831318E-3	5.244809E0
1.400000E1	1.141644E1	-2.831318E-3	4.877919E0
1.500000E1	1.141123E1	-2.831318E-3	5.159234E0
1.600000E1	1.140602E1	-2.831318E-3	5.457233E0
1.700000E1	1.140081E1	-2.831318E-3	4.793788E0
1.800000E1	1.139561E1	-2.831318E-3	4.814807E0
1.900000E1	1.139040E1	-2.831318E-3	5.052765E0
2.000000E1	1.138519E1	-2.831318E-3	5.690286E0
2.100000E1	1.137998E1	-2.831318E-3	5.540413E0
2.200000E1	1.137478E1	-2.831318E-3	5.060256E0
2.300000E1	1.136957E1	-2.831318E-3	5.480706E0
2.400000E1	1.136436E1	-2.831318E-3	5.580442E0
2.500000E1	1.135915E1	-2.831318E-3	4.907550E0
2.600000E1	1.135395E1	-2.831318E-3	4.974237E0
2.700000E1	1.134874E1	-2.831318E-3	4.617074E0
2.800000E1	1.134353E1	-2.831318E-3	5.588104E0
2.900000E1	1.133832E1	-2.831318E-3	4.189107E0
3.000000E1	1.133311E1	-2.831318E-3	4.222200E0
3.100000E1	1.132791E1	-2.831318E-3	4.543194E0
3.200000E1	1.132270E1	-2.831318E-3	4.772611E0
3.300000E1	1.131749E1	-2.831318E-3	5.012975E0
3.400000E1	1.131228E1	-2.831318E-3	5.363986E0
3.500000E1	1.130708E1	-2.831318E-3	5.452923E0
3.600000E1	1.130187E1	-2.831318E-3	5.397481E0
3.700000E1	1.129666E1	-2.831318E-3	4.695327E0
3.800000E1	1.129145E1	-2.831318E-3	5.585898E0
3.900000E1	1.128625E1	-2.831318E-3	4.416868E0
4.000000E1	1.128104E1	-2.831318E-3	5.121353E0
4.100000E1	1.127583E1	-2.831318E-3	5.331621E0
4.200000E1	1.127062E1	-2.831318E-3	4.479764E0
4.300000E1	1.126542E1	-2.831318E-3	3.862320E0
4.400000E1	1.126021E1	-2.831318E-3	4.230971E0
4.500000E1	1.125500E1	-2.831318E-3	4.368097E0
4.600000E1	1.124979E1	-2.831318E-3	4.591654E0
4.700000E1	1.124459E1	-2.831318E-3	3.700449E0
4.800000E1	1.123938E1	-2.831318E-3	4.289093E0
4.900000E1	1.123417E1	-2.831318E-3	5.143051E0
5.000000E1	1.122896E1	-2.831318E-3	5.504335E0
5.100000E1	1.122376E1	-2.831318E-3	5.284059E0
5.200000E1	1.121855E1	-2.831318E-3	5.317606E0
5.300000E1	1.121334E1	-2.831318E-3	4.584875E0
5.400000E1	1.120813E1	-2.831318E-3	4.625699E0
5.500000E1	1.120293E1	-2.831318E-3	4.817672E0
5.600000E1	1.119772E1	-2.831318E-3	4.229235E0
5.700000E1	1.119251E1	-2.831318E-3	4.693958E0
5.800000E1	1.118730E1	-2.831318E-3	5.877927E0
5.900000E1	1.118210E1	-2.831318E-3	5.379143E0
6.000000E1	1.117689E1	-2.831318E-3	4.067219E0
6.100000E1	1.117168E1	-2.831318E-3	4.275117E0
6.200000E1	1.116647E1	-2.831318E-3	5.341079E0
6.300000E1	1.116127E1	-2.831318E-3	5.824105E0
6.400000E1	1.115606E1	-2.831318E-3	4.677573E0
6.500000E1	1.115085E1	-2.831318E-3	5.140462E0
6.600000E1	1.114564E1	-2.831318E-3	5.474248E0
6.700000E1	1.114044E1	-2.831318E-3	5.659567E0
6.800000E1	1.113523E1	-2.831318E-3	4.856969E0
6.900000E1	1.113002E1	-2.831318E-3	5.291026E0
7.000000E1	1.112481E1	-2.831318E-3	5.180324E0
7.100000E1	1.111961E1	-2.831318E-3	4.847557E0
7.200000E1	1.111440E1	-2.831318E-3	6.101037E0
7.300000E1	1.110919E1	-2.831318E-3	5.849308E0
7.400000E1	1.110398E1	-2.831318E-3	5.586700E0
7.500000E1	1.109878E1	-2.831318E-3	5.184243E0
7.600000E1	1.109357E1	-2.831318E-3	5.145470E0
7.700000E1	1.108836E1	-2.831318E-3	6.093463E0
7.800000E1	1.108315E1	-2.831318E-3	5.772639E0
7.900000E1	1.107795E1	-2.831318E-3	5.866092E0
8.000000E1	1.107274E1	-2.831318E-3	5.471509E0
8.100000E1	1.106753E1	-2.831318E-3	6.531114E0
8.200000E1	1.106232E1	-2.831318E-3	6.052059E0
8.300000E1	1.105712E1	-2.831318E-3	6.404143E0
8.400000E1	1.105191E1	-2.831318E-3	6.255953E0
8.500000E1	1.104670E1	-2.831318E-3	5.758641E0
8.600000E1	1.104149E1	-2.831318E-3	5.079319E0
